########## REPORT GEN: 2 ##########
SPECIES: 
Phipps         		Mean: 185.53 		Best: 903.39 		N:5
Umberger       		Mean: 85.63 		Best: 902.76 		N:11
Ginther        		Mean: 232.86 		Best: 902.76 		N:4
Schulman       		Mean: 231.06 		Best: 900.71 		N:4
Danforth       		Mean: 458.63 		Best: 900.67 		N:2
Miller         		Mean: 450.34 		Best: 900.67 		N:2
Bennett        		Mean: 306.97 		Best: 900.67 		N:3
Lewis          		Mean: 450.34 		Best: 900.67 		N:2
Tilson         		Mean: 458.64 		Best: 900.67 		N:2
Renz           		Mean: 450.34 		Best: 900.67 		N:2
Moreno         		Mean: 308.18 		Best: 900.67 		N:3
Lacroix        		Mean: 305.79 		Best: 900.67 		N:3
Mallory        		Mean: 117.49 		Best: 900.67 		N:8
Clark          		Mean: 230.14 		Best: 900.67 		N:4
Mack           		Mean: 133.34 		Best: 900.71 		N:7
Smith          		Mean: 186.88 		Best: 901.37 		N:5
Clark          		Mean: 451.47 		Best: 900.61 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Lacroix        		Mean: 186.56 		Best: 902.76 		N:5
Moreno         		Mean: 459.99 		Best: 900.72 		N:2
Danforth       		Mean: 231.0 		Best: 900.71 		N:4
Phipps         		Mean: 309.19 		Best: 900.67 		N:3
Schulman       		Mean: 133.85 		Best: 903.39 		N:7
Hibner         		Mean: 459.2 		Best: 900.67 		N:2
Brown          		Mean: 301.41 		Best: 900.67 		N:3
Miller         		Mean: 232.08 		Best: 900.67 		N:4
Lewis          		Mean: 225.17 		Best: 900.67 		N:4
Tilson         		Mean: 309.0 		Best: 900.67 		N:3
Renz           		Mean: 226.21 		Best: 900.67 		N:4
Yeatts         		Mean: 458.69 		Best: 900.67 		N:2
Clark          		Mean: 186.29 		Best: 900.67 		N:5
Smith          		Mean: 187.31 		Best: 900.67 		N:5
Mack           		Mean: 309.69 		Best: 900.67 		N:3
Clark          		Mean: 225.81 		Best: 900.61 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Miller         		Mean: 307.56 		Best: 902.76 		N:3
Mack           		Mean: 305.9 		Best: 900.71 		N:3
Lacroix        		Mean: 230.02 		Best: 900.67 		N:4
Umberger       		Mean: 185.79 		Best: 900.67 		N:5
Moreno         		Mean: 154.33 		Best: 901.37 		N:6
Danforth       		Mean: 229.93 		Best: 900.74 		N:4
Schulman       		Mean: 459.9 		Best: 900.67 		N:2
Brown          		Mean: 226.34 		Best: 900.67 		N:4
Lewis          		Mean: 300.62 		Best: 900.67 		N:3
Tilson         		Mean: 300.22 		Best: 900.67 		N:3
Renz           		Mean: 301.06 		Best: 900.67 		N:3
Yeatts         		Mean: 185.09 		Best: 901.37 		N:5
Clark          		Mean: 458.76 		Best: 900.67 		N:2
Smith          		Mean: 456.92 		Best: 900.64 		N:2
Hibner         		Mean: 231.34 		Best: 900.84 		N:4
