########## REPORT GEN: 2 ##########
SPECIES: 
Kiedrowski     		Mean: 8.79 		Best: 903.09 		N:109
Davison        		Mean: 14.16 		Best: 902.59 		N:67
Carpenter      		Mean: 39.34 		Best: 904.52 		N:24

########## REPORT GEN: 3 ##########
SPECIES: 
Kiedrowski     		Mean: 31.72 		Best: 903.74 		N:30
Wingate        		Mean: 86.11 		Best: 902.28 		N:11
Fierro         		Mean: 67.59 		Best: 902.5 		N:14
Anderson       		Mean: 103.82 		Best: 902.13 		N:9
Carpenter      		Mean: 67.77 		Best: 902.51 		N:14
Torres         		Mean: 104.27 		Best: 901.83 		N:9
Davison        		Mean: 39.33 		Best: 903.19 		N:24
Juarez         		Mean: 94.34 		Best: 902.39 		N:10
Pennington     		Mean: 36.35 		Best: 904.55 		N:26

########## REPORT GEN: 4 ##########
SPECIES: 
Carpenter      		Mean: 36.37 		Best: 916.51 		N:26
Pennington     		Mean: 72.66 		Best: 909.39 		N:13
Kiedrowski     		Mean: 29.58 		Best: 903.16 		N:32
Juarez         		Mean: 104.68 		Best: 902.74 		N:9
Wingate        		Mean: 62.84 		Best: 901.58 		N:15
Anderson       		Mean: 58.73 		Best: 903.01 		N:16
Torres         		Mean: 71.81 		Best: 901.91 		N:13
Davison        		Mean: 116.75 		Best: 903.28 		N:8
Fierro         		Mean: 33.67 		Best: 904.0 		N:28

########## REPORT GEN: 5 ##########
SPECIES: 
Kiedrowski     		Mean: 33.64 		Best: 916.54 		N:28
Pennington     		Mean: 155.51 		Best: 911.13 		N:6
Carpenter      		Mean: 71.81 		Best: 903.19 		N:13
Juarez         		Mean: 44.53 		Best: 909.82 		N:21
Torres         		Mean: 33.63 		Best: 902.6 		N:28
Fierro         		Mean: 46.99 		Best: 902.28 		N:20
Wingate        		Mean: 39.15 		Best: 901.79 		N:24
Davison        		Mean: 49.36 		Best: 902.24 		N:19
Anderson       		Mean: 133.52 		Best: 902.26 		N:7

########## REPORT GEN: 6 ##########
SPECIES: 
Carpenter      		Mean: 309.5 		Best: 930.8 		N:3
Kiedrowski     		Mean: 34.7 		Best: 910.71 		N:27
Fierro         		Mean: 55.0 		Best: 906.64 		N:17
Pennington     		Mean: 77.73 		Best: 904.51 		N:12
Torres         		Mean: 46.8 		Best: 901.83 		N:20
Wingate        		Mean: 55.06 		Best: 902.51 		N:17
Juarez         		Mean: 52.07 		Best: 902.68 		N:18
Davison        		Mean: 104.25 		Best: 901.98 		N:9
Anderson       		Mean: 84.61 		Best: 903.22 		N:11

########## REPORT GEN: 7 ##########
SPECIES: 
Davison        		Mean: 46.84 		Best: 931.45 		N:20
Kiedrowski     		Mean: 62.23 		Best: 910.68 		N:15
Carpenter      		Mean: 84.59 		Best: 902.54 		N:11
Fierro         		Mean: 66.41 		Best: 901.46 		N:14
Pennington     		Mean: 62.21 		Best: 905.94 		N:15
Torres         		Mean: 84.76 		Best: 904.41 		N:11
Juarez         		Mean: 62.14 		Best: 903.11 		N:15
Anderson       		Mean: 66.25 		Best: 901.19 		N:14
Wingate        		Mean: 103.56 		Best: 901.06 		N:9

########## REPORT GEN: 8 ##########
SPECIES: 
Torres         		Mean: 42.38 		Best: 934.02 		N:22
Kiedrowski     		Mean: 42.46 		Best: 927.47 		N:22
Anderson       		Mean: 51.55 		Best: 911.49 		N:18
Carpenter      		Mean: 48.89 		Best: 902.41 		N:19
Pennington     		Mean: 51.69 		Best: 901.96 		N:18
Fierro         		Mean: 46.56 		Best: 902.13 		N:20
Davison        		Mean: 66.5 		Best: 902.07 		N:14
Wingate        		Mean: 62.06 		Best: 902.4 		N:15
Juarez         		Mean: 37.31 		Best: 903.17 		N:25

########## REPORT GEN: 9 ##########
SPECIES: 
Carpenter      		Mean: 40.36 		Best: 929.7 		N:23
Torres         		Mean: 58.17 		Best: 925.16 		N:16
Pennington     		Mean: 44.28 		Best: 908.39 		N:21
Fierro         		Mean: 44.21 		Best: 903.57 		N:21
Davison        		Mean: 54.49 		Best: 903.89 		N:17
Kiedrowski     		Mean: 30.96 		Best: 903.1 		N:30
Anderson       		Mean: 35.71 		Best: 902.7 		N:26
Wingate        		Mean: 37.26 		Best: 903.51 		N:25
Juarez         		Mean: 66.21 		Best: 902.54 		N:14

########## REPORT GEN: 10 ##########
SPECIES: 
Kiedrowski     		Mean: 34.42 		Best: 929.59 		N:27
Carpenter      		Mean: 35.77 		Best: 927.8 		N:26
Fierro         		Mean: 29.99 		Best: 931.29 		N:31
Anderson       		Mean: 42.23 		Best: 907.31 		N:22
Davison        		Mean: 57.96 		Best: 905.49 		N:16
Wingate        		Mean: 48.87 		Best: 903.39 		N:19
Juarez         		Mean: 58.09 		Best: 902.26 		N:16
Torres         		Mean: 61.81 		Best: 903.04 		N:15
Pennington     		Mean: 42.18 		Best: 901.81 		N:22

########## REPORT GEN: 11 ##########
SPECIES: 
Carpenter      		Mean: 42.27 		Best: 932.63 		N:22
Pennington     		Mean: 51.61 		Best: 927.79 		N:18
Fierro         		Mean: 44.16 		Best: 926.53 		N:21
Kiedrowski     		Mean: 38.7 		Best: 926.52 		N:24
Wingate        		Mean: 33.12 		Best: 924.66 		N:28
Torres         		Mean: 37.11 		Best: 906.94 		N:25
Juarez         		Mean: 37.09 		Best: 903.07 		N:25
Anderson       		Mean: 61.6 		Best: 902.56 		N:15
Davison        		Mean: 48.83 		Best: 905.5 		N:19

########## REPORT GEN: 12 ##########
SPECIES: 
Kiedrowski     		Mean: 54.49 		Best: 932.75 		N:17
Juarez         		Mean: 29.91 		Best: 932.21 		N:31
Fierro         		Mean: 48.95 		Best: 931.8 		N:19
Wingate        		Mean: 46.49 		Best: 931.06 		N:20
Anderson       		Mean: 42.15 		Best: 928.0 		N:22
Davison        		Mean: 44.18 		Best: 927.13 		N:21
Carpenter      		Mean: 37.09 		Best: 918.74 		N:25
Torres         		Mean: 44.12 		Best: 905.52 		N:21
Pennington     		Mean: 51.41 		Best: 903.57 		N:18

########## REPORT GEN: 13 ##########
SPECIES: 
Fierro         		Mean: 44.12 		Best: 933.21 		N:21
Torres         		Mean: 48.99 		Best: 931.59 		N:19
Anderson       		Mean: 27.3 		Best: 928.94 		N:34
Wingate        		Mean: 51.44 		Best: 928.49 		N:18
Juarez         		Mean: 48.76 		Best: 927.13 		N:19
Carpenter      		Mean: 38.52 		Best: 905.91 		N:24
Pennington     		Mean: 46.25 		Best: 903.1 		N:20
Kiedrowski     		Mean: 42.04 		Best: 901.96 		N:22
Davison        		Mean: 46.15 		Best: 903.25 		N:20

########## REPORT GEN: 14 ##########
SPECIES: 
Kiedrowski     		Mean: 34.41 		Best: 931.44 		N:27
Torres         		Mean: 34.39 		Best: 930.92 		N:27
Pennington     		Mean: 61.73 		Best: 930.8 		N:15
Wingate        		Mean: 54.88 		Best: 930.58 		N:17
Carpenter      		Mean: 30.87 		Best: 930.05 		N:30
Davison        		Mean: 48.81 		Best: 928.89 		N:19
Anderson       		Mean: 46.08 		Best: 903.89 		N:20
Fierro         		Mean: 40.11 		Best: 903.14 		N:23
Juarez         		Mean: 43.98 		Best: 902.13 		N:21

########## REPORT GEN: 15 ##########
SPECIES: 
Davison        		Mean: 48.94 		Best: 938.87 		N:19
Torres         		Mean: 34.31 		Best: 936.06 		N:27
Kiedrowski     		Mean: 40.32 		Best: 933.75 		N:23
Wingate        		Mean: 37.09 		Best: 931.73 		N:25
Pennington     		Mean: 44.03 		Best: 930.96 		N:21
Anderson       		Mean: 61.82 		Best: 930.5 		N:15
Fierro         		Mean: 46.32 		Best: 929.74 		N:20
Carpenter      		Mean: 34.29 		Best: 926.13 		N:27
Juarez         		Mean: 51.31 		Best: 924.52 		N:18

########## REPORT GEN: 16 ##########
SPECIES: 
Pennington     		Mean: 51.79 		Best: 937.66 		N:18
Davison        		Mean: 44.08 		Best: 936.89 		N:21
Wingate        		Mean: 46.25 		Best: 936.82 		N:20
Juarez         		Mean: 44.06 		Best: 935.99 		N:21
Torres         		Mean: 44.22 		Best: 935.92 		N:21
Carpenter      		Mean: 40.29 		Best: 935.45 		N:23
Fierro         		Mean: 61.63 		Best: 929.89 		N:15
Anderson       		Mean: 37.04 		Best: 930.52 		N:25
Kiedrowski     		Mean: 28.88 		Best: 926.68 		N:32

########## REPORT GEN: 17 ##########
SPECIES: 
Torres         		Mean: 42.04 		Best: 934.26 		N:22
