########## REPORT GEN: 2 ##########
SPECIES: 
Carlson        		Mean: 67.51 		Best: 942.62 		N:15
Mccauley       		Mean: 165.45 		Best: 939.89 		N:6
Earley         		Mean: 157.12 		Best: 934.1 		N:6
Toney          		Mean: 471.61 		Best: 934.1 		N:2
Olson          		Mean: 480.47 		Best: 933.84 		N:2
Hammond        		Mean: 156.16 		Best: 933.51 		N:6
Bond           		Mean: 62.96 		Best: 934.1 		N:16
Merritt        		Mean: 112.04 		Best: 931.27 		N:9
Cantwell       		Mean: 53.5 		Best: 934.1 		N:19
Avila          		Mean: 94.46 		Best: 931.27 		N:10
Parsley        		Mean: 465.64 		Best: 931.27 		N:2
Dean           		Mean: 465.64 		Best: 931.27 		N:2
Hyman          		Mean: 234.87 		Best: 931.27 		N:4

########## REPORT GEN: 3 ##########
SPECIES: 
Carlson        		Mean: 99.46 		Best: 942.62 		N:10
Hyman          		Mean: 188.12 		Best: 939.89 		N:5
Merritt        		Mean: 142.92 		Best: 934.1 		N:7
Parsley        		Mean: 139.07 		Best: 934.1 		N:7
Bond           		Mean: 89.58 		Best: 934.1 		N:11
Hammond        		Mean: 235.04 		Best: 933.51 		N:4
Cantwell       		Mean: 166.4 		Best: 934.1 		N:6
Batey          		Mean: 484.41 		Best: 933.51 		N:2
Mccauley       		Mean: 162.48 		Best: 939.89 		N:6
Earley         		Mean: 323.69 		Best: 934.1 		N:3
Toney          		Mean: 243.49 		Best: 934.1 		N:4
Olson          		Mean: 165.17 		Best: 938.94 		N:6
Avila          		Mean: 157.62 		Best: 931.27 		N:6
Dozier         		Mean: 188.12 		Best: 931.27 		N:5
Dean           		Mean: 234.71 		Best: 931.27 		N:4
Harris         		Mean: 318.06 		Best: 933.84 		N:3
Paxton         		Mean: 195.37 		Best: 931.27 		N:5
Fleming        		Mean: 483.64 		Best: 927.26 		N:2
Cooper         		Mean: 480.49 		Best: 927.26 		N:2

########## REPORT GEN: 4 ##########
SPECIES: 
Toney          		Mean: 244.21 		Best: 959.9 		N:4
Cantwell       		Mean: 122.38 		Best: 942.62 		N:8
Olson          		Mean: 164.54 		Best: 939.89 		N:6
Otterson       		Mean: 482.12 		Best: 939.89 		N:2
Mccauley       		Mean: 140.56 		Best: 939.89 		N:7
Earley         		Mean: 481.26 		Best: 934.1 		N:2
Necaise        		Mean: 319.88 		Best: 934.1 		N:3
Hyman          		Mean: 478.58 		Best: 933.51 		N:2
Parsley        		Mean: 139.43 		Best: 934.1 		N:7
Hammond        		Mean: 187.74 		Best: 933.51 		N:5
Carlson        		Mean: 162.23 		Best: 931.27 		N:6
Merritt        		Mean: 162.29 		Best: 931.27 		N:6
Bond           		Mean: 89.44 		Best: 934.1 		N:11
Batey          		Mean: 162.98 		Best: 933.51 		N:6
Avila          		Mean: 187.48 		Best: 931.27 		N:5
Dean           		Mean: 483.26 		Best: 931.27 		N:2
Harris         		Mean: 323.85 		Best: 933.51 		N:3
Paxton         		Mean: 194.27 		Best: 931.27 		N:5
Cypert         		Mean: 241.78 		Best: 931.27 		N:4
Fleming        		Mean: 477.46 		Best: 931.27 		N:2
Cooper         		Mean: 319.12 		Best: 931.27 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Olson          		Mean: 195.31 		Best: 943.77 		N:5
Bond           		Mean: 194.4 		Best: 942.62 		N:5
Earley         		Mean: 195.12 		Best: 940.72 		N:5
Otterson       		Mean: 241.56 		Best: 939.89 		N:4
Hyman          		Mean: 234.29 		Best: 939.89 		N:4
Fleming        		Mean: 162.76 		Best: 939.89 		N:6
Cypert         		Mean: 81.56 		Best: 939.26 		N:12
Hammond        		Mean: 323.78 		Best: 934.48 		N:3
Necaise        		Mean: 81.34 		Best: 935.58 		N:12
Parsley        		Mean: 315.73 		Best: 934.1 		N:3
Carlson        		Mean: 244.5 		Best: 934.38 		N:4
Batey          		Mean: 241.51 		Best: 934.1 		N:4
Busby          		Mean: 315.06 		Best: 934.1 		N:3
Kamphoefner    		Mean: 474.32 		Best: 934.1 		N:2
Cooper         		Mean: 320.42 		Best: 933.51 		N:3
Cantwell       		Mean: 474.83 		Best: 931.27 		N:2
Merritt        		Mean: 239.81 		Best: 931.27 		N:4
Dean           		Mean: 239.94 		Best: 931.27 		N:4
Harris         		Mean: 139.15 		Best: 934.1 		N:7
Dozier         		Mean: 472.94 		Best: 931.27 		N:2
Mccauley       		Mean: 319.19 		Best: 922.28 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Kamphoefner    		Mean: 161.24 		Best: 943.77 		N:6
Mccauley       		Mean: 321.82 		Best: 942.62 		N:3
Harris         		Mean: 120.61 		Best: 940.89 		N:8
Dozier         		Mean: 243.34 		Best: 940.72 		N:4
Merritt        		Mean: 137.58 		Best: 939.89 		N:7
Bond           		Mean: 193.9 		Best: 935.58 		N:5
Fleming        		Mean: 241.17 		Best: 935.58 		N:4
Necaise        		Mean: 320.11 		Best: 934.1 		N:3
Parsley        		Mean: 193.09 		Best: 939.89 		N:5
Batey          		Mean: 137.34 		Best: 934.1 		N:7
Cooper         		Mean: 474.09 		Best: 934.1 		N:2
Cantwell       		Mean: 481.17 		Best: 934.1 		N:2
Carlson        		Mean: 192.34 		Best: 933.51 		N:5
Olson          		Mean: 237.39 		Best: 931.27 		N:4
Earley         		Mean: 192.99 		Best: 934.1 		N:5
Hyman          		Mean: 473.37 		Best: 931.27 		N:2
Cypert         		Mean: 192.28 		Best: 933.23 		N:5
Busby          		Mean: 192.23 		Best: 934.1 		N:5
Dean           		Mean: 478.95 		Best: 931.27 		N:2
Toney          		Mean: 191.75 		Best: 931.27 		N:5
Paxton         		Mean: 319.32 		Best: 934.1 		N:3
Otterson       		Mean: 190.01 		Best: 926.09 		N:5
Hammond        		Mean: 470.51 		Best: 920.48 		N:2

########## REPORT GEN: 7 ##########
SPECIES: 
Kamphoefner    		Mean: 320.28 		Best: 943.77 		N:3
Fleming        		Mean: 138.02 		Best: 942.62 		N:7
Paxton         		Mean: 138.74 		Best: 942.62 		N:7
Otterson       		Mean: 239.54 		Best: 940.89 		N:4
Dean           		Mean: 120.65 		Best: 940.72 		N:8
Earley         		Mean: 193.38 		Best: 939.89 		N:5
Hyman          		Mean: 474.51 		Best: 939.89 		N:2
Mccauley       		Mean: 241.91 		Best: 935.58 		N:4
Olson          		Mean: 320.1 		Best: 935.58 		N:3
Parsley        		Mean: 237.33 		Best: 934.1 		N:4
Batey          		Mean: 159.7 		Best: 935.58 		N:6
Harris         		Mean: 159.63 		Best: 933.51 		N:6
Dozier         		Mean: 318.89 		Best: 934.1 		N:3
Necaise        		Mean: 192.34 		Best: 933.51 		N:5
Hammond        		Mean: 191.09 		Best: 935.58 		N:5
Avila          		Mean: 160.34 		Best: 933.51 		N:6
Cooper         		Mean: 106.84 		Best: 934.1 		N:9
Cantwell       		Mean: 469.37 		Best: 931.27 		N:2
Carlson        		Mean: 476.15 		Best: 931.27 		N:2
Toney          		Mean: 238.36 		Best: 931.27 		N:4
Busby          		Mean: 475.44 		Best: 930.46 		N:2

########## REPORT GEN: 8 ##########
SPECIES: 
Earley         		Mean: 190.48 		Best: 943.77 		N:5
Parsley        		Mean: 316.87 		Best: 942.62 		N:3
Dozier         		Mean: 160.01 		Best: 942.62 		N:6
Busby          		Mean: 120.18 		Best: 940.72 		N:8
Fleming        		Mean: 159.52 		Best: 939.89 		N:6
Harris         		Mean: 160.23 		Best: 942.62 		N:6
Cypert         		Mean: 239.2 		Best: 939.89 		N:4
Paxton         		Mean: 159.69 		Best: 935.58 		N:6
Otterson       		Mean: 316.93 		Best: 933.84 		N:3
Bond           		Mean: 314.39 		Best: 933.84 		N:3
Avila          		Mean: 137.49 		Best: 933.84 		N:7
Kamphoefner    		Mean: 237.25 		Best: 933.51 		N:4
Olson          		Mean: 317.65 		Best: 933.51 		N:3
Hammond        		Mean: 238.36 		Best: 934.1 		N:4
Toney          		Mean: 158.83 		Best: 933.51 		N:6
Dean           		Mean: 314.61 		Best: 931.27 		N:3
Cooper         		Mean: 191.22 		Best: 931.27 		N:5
Cantwell       		Mean: 135.64 		Best: 931.27 		N:7
Batey          		Mean: 471.24 		Best: 930.46 		N:2
Carlson        		Mean: 315.29 		Best: 930.46 		N:3
Hyman          		Mean: 312.26 		Best: 922.47 		N:3

########## REPORT GEN: 9 ##########
SPECIES: 
Batey          		Mean: 473.57 		Best: 943.77 		N:2
Avila          		Mean: 119.73 		Best: 942.62 		N:8
Cooper         		Mean: 160.72 		Best: 942.62 		N:6
Mccauley       		Mean: 119.85 		Best: 942.62 		N:8
Parsley        		Mean: 190.79 		Best: 942.17 		N:5
Fleming        		Mean: 191.26 		Best: 940.72 		N:5
Kamphoefner    		Mean: 238.78 		Best: 939.89 		N:4
Olson          		Mean: 238.13 		Best: 939.89 		N:4
Bond           		Mean: 190.41 		Best: 935.58 		N:5
Merritt        		Mean: 319.46 		Best: 935.58 		N:3
Hyman          		Mean: 190.41 		Best: 934.73 		N:5
Paxton         		Mean: 317.85 		Best: 934.1 		N:3
Dean           		Mean: 159.34 		Best: 935.58 		N:6
Cypert         		Mean: 189.27 		Best: 933.51 		N:5
Necaise        		Mean: 237.83 		Best: 933.51 		N:4
Earley         		Mean: 136.06 		Best: 933.84 		N:7
Hammond        		Mean: 118.77 		Best: 935.58 		N:8
Cantwell       		Mean: 317.42 		Best: 931.27 		N:3
Harris         		Mean: 312.56 		Best: 930.46 		N:3
Toney          		Mean: 470.64 		Best: 930.46 		N:2
Dozier         		Mean: 470.4 		Best: 927.93 		N:2

########## REPORT GEN: 10 ##########
SPECIES: 
Cantwell       		Mean: 190.1 		Best: 959.9 		N:5
Otterson       		Mean: 118.94 		Best: 943.77 		N:8
Fleming        		Mean: 237.3 		Best: 942.62 		N:4
Earley         		Mean: 158.52 		Best: 942.62 		N:6
Dozier         		Mean: 86.86 		Best: 942.62 		N:11
Kamphoefner    		Mean: 240.7 		Best: 942.17 		N:4
Merritt        		Mean: 136.74 		Best: 940.72 		N:7
Cypert         		Mean: 190.75 		Best: 940.04 		N:5
Batey          		Mean: 191.16 		Best: 939.89 		N:5
Hyman          		Mean: 191.04 		Best: 939.89 		N:5
Necaise        		Mean: 315.86 		Best: 939.89 		N:3
Avila          		Mean: 236.4 		Best: 934.73 		N:4
Carlson        		Mean: 156.81 		Best: 933.51 		N:6
Dean           		Mean: 474.98 		Best: 933.51 		N:2
Harris         		Mean: 189.49 		Best: 933.51 		N:5
Olson          		Mean: 315.23 		Best: 933.23 		N:3
Hammond        		Mean: 236.87 		Best: 930.46 		N:4
Paxton         		Mean: 313.82 		Best: 927.93 		N:3
Parsley        		Mean: 157.62 		Best: 927.26 		N:6
Cooper         		Mean: 469.16 		Best: 922.28 		N:2

########## REPORT GEN: 11 ##########
SPECIES: 
Otterson       		Mean: 158.22 		Best: 959.9 		N:6
Hyman          		Mean: 316.02 		Best: 943.77 		N:3
Kamphoefner    		Mean: 105.39 		Best: 942.62 		N:9
Harris         		Mean: 237.26 		Best: 942.62 		N:4
Cooper         		Mean: 86.74 		Best: 942.62 		N:11
Earley         		Mean: 315.82 		Best: 940.04 		N:3
Dozier         		Mean: 475.16 		Best: 940.04 		N:2
Fleming        		Mean: 236.93 		Best: 939.89 		N:4
Merritt        		Mean: 191.09 		Best: 939.89 		N:5
Batey          		Mean: 158.29 		Best: 939.89 		N:6
Necaise        		Mean: 189.56 		Best: 939.89 		N:5
Toney          		Mean: 190.76 		Best: 939.89 		N:5
Cantwell       		Mean: 119.11 		Best: 939.89 		N:8
Hammond        		Mean: 135.8 		Best: 933.51 		N:7
Bond           		Mean: 473.16 		Best: 931.27 		N:2
Carlson        		Mean: 188.57 		Best: 931.27 		N:5
Dean           		Mean: 311.17 		Best: 931.27 		N:3
Mccauley       		Mean: 235.74 		Best: 930.46 		N:4
Avila          		Mean: 235.54 		Best: 930.46 		N:4
Olson          		Mean: 466.3 		Best: 920.48 		N:2

########## REPORT GEN: 12 ##########
SPECIES: 
Cooper         		Mean: 135.57 		Best: 960.38 		N:7
Kamphoefner    		Mean: 238.54 		Best: 960.28 		N:4
Otterson       		Mean: 238.18 		Best: 959.9 		N:4
Earley         		Mean: 237.36 		Best: 959.9 		N:4
Harris         		Mean: 135.83 		Best: 951.71 		N:7
Carlson        		Mean: 190.2 		Best: 943.77 		N:5
Dozier         		Mean: 135.65 		Best: 942.62 		N:7
Necaise        		Mean: 239.05 		Best: 942.62 		N:4
Mccauley       		Mean: 474.77 		Best: 942.62 		N:2
Merritt        		Mean: 238.8 		Best: 940.04 		N:4
Parsley        		Mean: 190.23 		Best: 940.04 		N:5
Hyman          		Mean: 158.8 		Best: 939.89 		N:6
Hammond        		Mean: 188.06 		Best: 933.52 		N:5
Batey          		Mean: 469.74 		Best: 933.51 		N:2
Paxton         		Mean: 313.98 		Best: 933.51 		N:3
Toney          		Mean: 134.61 		Best: 931.27 		N:7
Avila          		Mean: 236.03 		Best: 931.27 		N:4
Olson          		Mean: 187.79 		Best: 930.46 		N:5
Fleming        		Mean: 156.42 		Best: 928.08 		N:6
Bond           		Mean: 117.83 		Best: 927.93 		N:8

########## REPORT GEN: 13 ##########
SPECIES: 
Parsley        		Mean: 94.6 		Best: 960.38 		N:10
Cantwell       		Mean: 317.05 		Best: 960.38 		N:3
Harris         		Mean: 316.43 		Best: 960.28 		N:3
