########## REPORT GEN: 2 ##########
SPECIES: 
Hillard        		Mean: 119.16 		Best: 938.56 		N:8
Desrochers     		Mean: 314.09 		Best: 938.56 		N:3
Whitaker       		Mean: 474.72 		Best: 938.56 		N:2
Preston        		Mean: 134.75 		Best: 927.55 		N:7
Tice           		Mean: 464.94 		Best: 915.41 		N:2
Harris         		Mean: 308.07 		Best: 912.9 		N:3
Harvey         		Mean: 95.79 		Best: 913.46 		N:10
Ross           		Mean: 68.1 		Best: 912.9 		N:14
Dunbar         		Mean: 459.82 		Best: 912.9 		N:2
Mcclain        		Mean: 469.35 		Best: 912.9 		N:2
Allen          		Mean: 234.96 		Best: 912.9 		N:4
Davis          		Mean: 464.97 		Best: 912.9 		N:2
Tharp          		Mean: 456.45 		Best: 912.9 		N:2
Smith          		Mean: 315.6 		Best: 912.9 		N:3
Alexander      		Mean: 136.35 		Best: 912.9 		N:7
Walker         		Mean: 238.84 		Best: 912.9 		N:4
Chinn          		Mean: 455.86 		Best: 908.14 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Desrochers     		Mean: 236.0 		Best: 938.56 		N:4
Harvey         		Mean: 158.36 		Best: 938.56 		N:6
Davis          		Mean: 136.18 		Best: 938.56 		N:7
Brock          		Mean: 309.47 		Best: 927.55 		N:3
Tice           		Mean: 236.06 		Best: 915.41 		N:4
Dunbar         		Mean: 235.15 		Best: 915.41 		N:4
Alexander      		Mean: 465.1 		Best: 915.41 		N:2
Hillard        		Mean: 237.46 		Best: 912.9 		N:4
Preston        		Mean: 232.15 		Best: 912.9 		N:4
Harris         		Mean: 118.29 		Best: 915.41 		N:8
Ross           		Mean: 188.4 		Best: 913.46 		N:5
Mcclain        		Mean: 313.31 		Best: 912.9 		N:3
Sheets         		Mean: 463.38 		Best: 912.9 		N:2
Tharp          		Mean: 456.45 		Best: 912.9 		N:2
Walker         		Mean: 135.04 		Best: 912.9 		N:7
Mccormick      		Mean: 456.24 		Best: 912.47 		N:2
Chinn          		Mean: 229.3 		Best: 908.14 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Preston        		Mean: 158.4 		Best: 938.72 		N:6
Desrochers     		Mean: 470.34 		Best: 938.56 		N:2
Mcclain        		Mean: 190.54 		Best: 938.56 		N:5
Hope           		Mean: 235.6 		Best: 938.56 		N:4
Tice           		Mean: 189.89 		Best: 938.56 		N:5
Sheets         		Mean: 316.01 		Best: 938.56 		N:3
Davis          		Mean: 235.72 		Best: 918.08 		N:4
Allen          		Mean: 232.17 		Best: 915.41 		N:4
Harvey         		Mean: 309.5 		Best: 912.9 		N:3
Brock          		Mean: 311.26 		Best: 912.9 		N:3
Dunbar         		Mean: 234.44 		Best: 912.9 		N:4
Alexander      		Mean: 187.96 		Best: 915.41 		N:5
Hillard        		Mean: 466.72 		Best: 912.9 		N:2
Harris         		Mean: 135.2 		Best: 912.9 		N:7
Tharp          		Mean: 311.74 		Best: 912.9 		N:3
Walker         		Mean: 234.2 		Best: 912.9 		N:4
Mccormick      		Mean: 463.85 		Best: 912.9 		N:2

########## REPORT GEN: 5 ##########
SPECIES: 
Tharp          		Mean: 190.71 		Best: 938.72 		N:5
Desrochers     		Mean: 313.41 		Best: 938.56 		N:3
Brock          		Mean: 157.46 		Best: 938.56 		N:6
Alexander      		Mean: 316.98 		Best: 938.56 		N:3
Mccormick      		Mean: 158.55 		Best: 938.56 		N:6
Chinn          		Mean: 234.01 		Best: 938.56 		N:4
Ross           		Mean: 117.61 		Best: 921.31 		N:8
Hope           		Mean: 234.78 		Best: 918.08 		N:4
Harvey         		Mean: 466.06 		Best: 915.41 		N:2
Preston        		Mean: 466.58 		Best: 912.9 		N:2
Mcclain        		Mean: 310.73 		Best: 912.9 		N:3
Tice           		Mean: 309.83 		Best: 912.9 		N:3
Harris         		Mean: 309.27 		Best: 912.9 		N:3
Hillard        		Mean: 460.48 		Best: 912.47 		N:2

########## REPORT GEN: 6 ##########
SPECIES: 
Hope           		Mean: 314.01 		Best: 938.72 		N:3
Desrochers     		Mean: 311.63 		Best: 938.56 		N:3
Brock          		Mean: 188.25 		Best: 938.56 		N:5
Mcclain        		Mean: 316.46 		Best: 938.56 		N:3
Sheets         		Mean: 315.67 		Best: 938.56 		N:3
Harris         		Mean: 314.22 		Best: 938.56 		N:3
Mccormick      		Mean: 308.08 		Best: 915.41 		N:3
Preston        		Mean: 231.36 		Best: 915.41 		N:4
Chinn          		Mean: 311.1 		Best: 921.31 		N:3
Ross           		Mean: 461.42 		Best: 912.9 		N:2
Tice           		Mean: 307.71 		Best: 912.9 		N:3
Davis          		Mean: 462.03 		Best: 912.9 		N:2
Allen          		Mean: 309.27 		Best: 912.9 		N:3
Alexander      		Mean: 465.15 		Best: 911.92 		N:2
Hillard        		Mean: 155.95 		Best: 912.9 		N:6
Harvey         		Mean: 308.73 		Best: 912.9 		N:3

########## REPORT GEN: 7 ##########
SPECIES: 
Hope           		Mean: 189.09 		Best: 938.72 		N:5
Desrochers     		Mean: 469.89 		Best: 938.56 		N:2
Brock          		Mean: 312.09 		Best: 938.56 		N:3
Harris         		Mean: 188.36 		Best: 938.56 		N:5
Mccormick      		Mean: 134.58 		Best: 938.56 		N:7
Chinn          		Mean: 134.46 		Best: 938.56 		N:7
Ross           		Mean: 157.88 		Best: 938.56 		N:6
Alexander      		Mean: 311.38 		Best: 938.56 		N:3
Mcclain        		Mean: 460.32 		Best: 915.41 		N:2
Davis          		Mean: 233.7 		Best: 915.41 		N:4
Preston        		Mean: 308.4 		Best: 912.9 		N:3
Tice           		Mean: 187.21 		Best: 912.9 		N:5
Allen          		Mean: 461.72 		Best: 912.9 		N:2
Hillard        		Mean: 308.86 		Best: 912.9 		N:3
Harvey         		Mean: 155.86 		Best: 912.9 		N:6

########## REPORT GEN: 8 ##########
SPECIES: 
Hope           		Mean: 311.07 		Best: 938.72 		N:3
Desrochers     		Mean: 468.38 		Best: 938.56 		N:2
Harris         		Mean: 117.32 		Best: 938.56 		N:8
Mccormick      		Mean: 94.54 		Best: 938.56 		N:10
Alexander      		Mean: 156.15 		Best: 938.56 		N:6
Davis          		Mean: 464.95 		Best: 938.56 		N:2
Preston        		Mean: 134.9 		Best: 938.56 		N:7
Tice           		Mean: 231.94 		Best: 938.56 		N:4
Harvey         		Mean: 459.87 		Best: 915.41 		N:2
Hillard        		Mean: 155.72 		Best: 915.41 		N:6
Sheets         		Mean: 304.88 		Best: 912.9 		N:3
Mcclain        		Mean: 456.97 		Best: 912.47 		N:2
Chinn          		Mean: 454.8 		Best: 910.85 		N:2
Allen          		Mean: 458.47 		Best: 906.77 		N:2
Brock          		Mean: 232.07 		Best: 915.41 		N:4

########## REPORT GEN: 9 ##########
SPECIES: 
Hope           		Mean: 135.85 		Best: 938.72 		N:7
Hillard        		Mean: 104.01 		Best: 938.56 		N:9
Allen          		Mean: 133.33 		Best: 938.56 		N:7
Brock          		Mean: 155.79 		Best: 938.56 		N:6
Harris         		Mean: 461.85 		Best: 919.71 		N:2
Mcclain        		Mean: 308.16 		Best: 915.41 		N:3
Alexander      		Mean: 309.86 		Best: 912.9 		N:3
Preston        		Mean: 461.71 		Best: 912.9 		N:2
Harvey         		Mean: 154.61 		Best: 912.9 		N:6
Anderson       		Mean: 306.62 		Best: 912.9 		N:3
Tice           		Mean: 185.13 		Best: 912.47 		N:5
Davis          		Mean: 232.71 		Best: 912.9 		N:4
Chinn          		Mean: 227.91 		Best: 910.85 		N:4
Sheets         		Mean: 457.62 		Best: 902.52 		N:2

########## REPORT GEN: 10 ##########
SPECIES: 
Mccormick      		Mean: 186.93 		Best: 939.4 		N:5
Tice           		Mean: 311.45 		Best: 938.72 		N:3
Davis          		Mean: 189.41 		Best: 938.72 		N:5
Hope           		Mean: 310.73 		Best: 938.56 		N:3
Harris         		Mean: 133.72 		Best: 938.56 		N:7
Sheets         		Mean: 155.58 		Best: 938.56 		N:6
Preston        		Mean: 308.48 		Best: 915.42 		N:3
Mcclain        		Mean: 185.79 		Best: 915.41 		N:5
Allen          		Mean: 184.69 		Best: 912.9 		N:5
Alexander      		Mean: 307.02 		Best: 912.9 		N:3
Hillard        		Mean: 463.14 		Best: 911.92 		N:2
Chinn          		Mean: 228.19 		Best: 910.85 		N:4
Brock          		Mean: 184.5 		Best: 906.22 		N:5
Desrochers     		Mean: 458.86 		Best: 905.84 		N:2

########## REPORT GEN: 11 ##########
SPECIES: 
Sheets         		Mean: 186.07 		Best: 939.4 		N:5
Davis          		Mean: 104.1 		Best: 938.91 		N:9
Chinn          		Mean: 467.82 		Best: 938.72 		N:2
Anderson       		Mean: 233.97 		Best: 938.72 		N:4
Hope           		Mean: 310.37 		Best: 938.56 		N:3
Harris         		Mean: 467.45 		Best: 938.56 		N:2
Alexander      		Mean: 186.54 		Best: 938.56 		N:5
Brock          		Mean: 186.96 		Best: 938.56 		N:5
Preston        		Mean: 233.08 		Best: 927.55 		N:4
Mccormick      		Mean: 308.32 		Best: 915.42 		N:3
Mcclain        		Mean: 185.33 		Best: 915.42 		N:5
Desrochers     		Mean: 132.06 		Best: 915.41 		N:7
Tice           		Mean: 458.72 		Best: 906.89 		N:2

########## REPORT GEN: 12 ##########
SPECIES: 
Brock          		Mean: 154.71 		Best: 939.4 		N:6
Mccormick      		Mean: 231.37 		Best: 938.72 		N:4
Tice           		Mean: 186.31 		Best: 938.72 		N:5
Alexander      		Mean: 103.55 		Best: 938.72 		N:9
Davis          		Mean: 233.47 		Best: 938.56 		N:4
Mcclain        		Mean: 231.44 		Best: 938.56 		N:4
Desrochers     		Mean: 309.79 		Best: 938.56 		N:3
Allen          		Mean: 236.07 		Best: 939.4 		N:4
Harris         		Mean: 154.96 		Best: 927.55 		N:6
Preston        		Mean: 462.2 		Best: 917.49 		N:2
Hope           		Mean: 132.58 		Best: 915.83 		N:7
Sheets         		Mean: 307.03 		Best: 910.85 		N:3
Anderson       		Mean: 458.33 		Best: 905.84 		N:2

########## REPORT GEN: 13 ##########
SPECIES: 
Chinn          		Mean: 465.9 		Best: 944.78 		N:2
Mccormick      		Mean: 117.67 		Best: 944.78 		N:8
Tice           		Mean: 187.17 		Best: 939.4 		N:5
Davis          		Mean: 464.55 		Best: 938.72 		N:2
Harris         		Mean: 156.24 		Best: 938.72 		N:6
Allen          		Mean: 116.98 		Best: 938.56 		N:8
Sheets         		Mean: 309.68 		Best: 938.56 		N:3
Alexander      		Mean: 132.07 		Best: 927.55 		N:7
Anderson       		Mean: 232.18 		Best: 920.8 		N:4
Mcclain        		Mean: 154.8 		Best: 918.95 		N:6
Hope           		Mean: 229.67 		Best: 914.3 		N:4
Preston        		Mean: 305.36 		Best: 902.68 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Mccormick      		Mean: 85.75 		Best: 944.78 		N:11
Davis          		Mean: 103.16 		Best: 944.78 		N:9
Harris         		Mean: 134.05 		Best: 944.78 		N:7
Desrochers     		Mean: 312.41 		Best: 939.4 		N:3
Hope           		Mean: 313.91 		Best: 939.4 		N:3
Allen          		Mean: 232.29 		Best: 938.56 		N:4
Sheets         		Mean: 307.87 		Best: 938.56 		N:3
Preston        		Mean: 186.73 		Best: 938.56 		N:5
Tice           		Mean: 183.37 		Best: 920.8 		N:5
Alexander      		Mean: 308.77 		Best: 920.8 		N:3
Anderson       		Mean: 456.33 		Best: 905.84 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Mccormick      		Mean: 235.37 		Best: 944.78 		N:4
Hope           		Mean: 310.68 		Best: 944.78 		N:3
Sheets         		Mean: 92.83 		Best: 944.78 		N:10
Desrochers     		Mean: 312.55 		Best: 939.4 		N:3
Allen          		Mean: 475.19 		Best: 939.4 		N:2
Mcclain        		Mean: 155.11 		Best: 939.4 		N:6
Preston        		Mean: 186.93 		Best: 938.72 		N:5
Tice           		Mean: 155.11 		Best: 938.56 		N:6
Chinn          		Mean: 470.31 		Best: 938.56 		N:2
Anderson       		Mean: 77.24 		Best: 938.56 		N:12
Davis          		Mean: 460.37 		Best: 919.71 		N:2
Harris         		Mean: 458.58 		Best: 919.71 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Sheets         		Mean: 134.95 		Best: 944.78 		N:7
Preston        		Mean: 469.42 		Best: 944.78 		N:2
Alexander      		Mean: 117.01 		Best: 944.78 		N:8
Mccormick      		Mean: 313.74 		Best: 939.4 		N:3
Mcclain        		Mean: 234.65 		Best: 939.4 		N:4
Tice           		Mean: 186.56 		Best: 939.4 		N:5
Chinn          		Mean: 310.22 		Best: 939.4 		N:3
Harris         		Mean: 235.28 		Best: 939.4 		N:4
Allen          		Mean: 133.82 		Best: 938.91 		N:7
Desrochers     		Mean: 233.55 		Best: 938.56 		N:4
Davis          		Mean: 154.72 		Best: 938.56 		N:6
Anderson       		Mean: 307.58 		Best: 914.45 		N:3

########## REPORT GEN: 17 ##########
SPECIES: 
Preston        		Mean: 471.18 		Best: 946.3 		N:2
Mcclain        		Mean: 314.78 		Best: 944.78 		N:3
Tice           		Mean: 232.34 		Best: 944.78 		N:4
Hope           		Mean: 232.8 		Best: 944.78 		N:4
Mccormick      		Mean: 188.7 		Best: 939.4 		N:5
Chinn          		Mean: 133.77 		Best: 939.4 		N:7
Harris         		Mean: 154.72 		Best: 939.4 		N:6
Allen          		Mean: 133.06 		Best: 939.4 		N:7
Desrochers     		Mean: 133.27 		Best: 938.56 		N:7
Davis          		Mean: 184.8 		Best: 938.56 		N:5
Anderson       		Mean: 132.96 		Best: 938.56 		N:7
Santana        		Mean: 305.68 		Best: 919.71 		N:3

########## REPORT GEN: 18 ##########
SPECIES: 
Davis          		Mean: 133.34 		Best: 946.3 		N:7
Santana        		Mean: 156.47 		Best: 944.78 		N:6
Preston        		Mean: 102.94 		Best: 939.4 		N:9
Chinn          		Mean: 309.26 		Best: 939.4 		N:3
Mcclain        		Mean: 132.56 		Best: 938.56 		N:7
Harris         		Mean: 154.88 		Best: 938.56 		N:6
Desrochers     		Mean: 184.79 		Best: 938.56 		N:5
Anderson       		Mean: 184.83 		Best: 938.56 		N:5
Hope           		Mean: 184.1 		Best: 919.71 		N:5
Mccormick      		Mean: 130.74 		Best: 919.71 		N:7
Allen          		Mean: 303.95 		Best: 909.48 		N:3
Tice           		Mean: 114.62 		Best: 906.65 		N:8

########## REPORT GEN: 19 ##########
SPECIES: 
Allen          		Mean: 187.1 		Best: 946.3 		N:5
Davis          		Mean: 153.72 		Best: 944.78 		N:6
Desrochers     		Mean: 71.86 		Best: 944.78 		N:13
Hope           		Mean: 115.31 		Best: 944.78 		N:8
Santana        		Mean: 153.25 		Best: 940.15 		N:6
Anderson       		Mean: 133.69 		Best: 939.4 		N:7
Chinn          		Mean: 115.55 		Best: 938.56 		N:8
Preston        		Mean: 183.4 		Best: 919.71 		N:5
Harris         		Mean: 228.26 		Best: 906.18 		N:4
Mcclain        		Mean: 151.81 		Best: 904.63 		N:6
Tice           		Mean: 228.93 		Best: 905.84 		N:4
Mccormick      		Mean: 182.57 		Best: 902.8 		N:5

########## REPORT GEN: 20 ##########
SPECIES: 
Santana        		Mean: 84.49 		Best: 946.3 		N:11
Chinn          		Mean: 103.01 		Best: 946.3 		N:9
Desrochers     		Mean: 232.14 		Best: 944.78 		N:4
Anderson       		Mean: 155.52 		Best: 940.15 		N:6
Preston        		Mean: 83.7 		Best: 939.18 		N:11
Harris         		Mean: 131.78 		Best: 938.56 		N:7
Tice           		Mean: 115.29 		Best: 938.56 		N:8
Davis          		Mean: 184.83 		Best: 928.33 		N:5
Mcclain        		Mean: 130.88 		Best: 928.33 		N:7
Hope           		Mean: 131.72 		Best: 928.27 		N:7
Mccormick      		Mean: 101.86 		Best: 919.71 		N:9
Allen          		Mean: 152.41 		Best: 916.85 		N:6
Wilson         		Mean: 444.98 		Best: 888.59 		N:2

########## REPORT GEN: 21 ##########
SPECIES: 
Preston        		Mean: 132.86 		Best: 946.3 		N:7
Mcclain        		Mean: 115.9 		Best: 946.3 		N:8
Davis          		Mean: 234.45 		Best: 944.78 		N:4
Mccormick      		Mean: 116.52 		Best: 940.15 		N:8
Chinn          		Mean: 102.2 		Best: 938.56 		N:9
Hope           		Mean: 183.27 		Best: 938.56 		N:5
Harris         		Mean: 183.69 		Best: 928.33 		N:5
Anderson       		Mean: 131.23 		Best: 928.27 		N:7
Allen          		Mean: 151.66 		Best: 919.71 		N:6
Santana        		Mean: 305.45 		Best: 916.85 		N:3
