########## REPORT GEN: 2 ##########
SPECIES: 
Demond         		Mean: 56.6 		Best: 945.92 		N:18
Tollerud       		Mean: 84.45 		Best: 945.92 		N:12
Burnham        		Mean: 336.6 		Best: 945.92 		N:3
Baldwin        		Mean: 126.77 		Best: 945.92 		N:8
Brown          		Mean: 472.96 		Best: 945.92 		N:2
House          		Mean: 200.19 		Best: 945.92 		N:5
Ross           		Mean: 244.37 		Best: 945.92 		N:4
Fennimore      		Mean: 472.96 		Best: 945.92 		N:2
Reid           		Mean: 463.82 		Best: 927.65 		N:2
Walton         		Mean: 306.18 		Best: 902.2 		N:3

########## REPORT GEN: 3 ##########
SPECIES: 
Demond         		Mean: 101.22 		Best: 945.92 		N:10
Brown          		Mean: 234.86 		Best: 945.92 		N:4
Oneal          		Mean: 472.96 		Best: 945.92 		N:2
Bradley        		Mean: 233.7 		Best: 945.92 		N:4
House          		Mean: 126.89 		Best: 945.92 		N:8
Fennimore      		Mean: 236.48 		Best: 945.92 		N:4
Elson          		Mean: 465.84 		Best: 945.92 		N:2
Bruner         		Mean: 244.58 		Best: 945.92 		N:4
Wright         		Mean: 315.31 		Best: 945.92 		N:3
Burnham        		Mean: 245.33 		Best: 945.92 		N:4
Reid           		Mean: 234.41 		Best: 927.65 		N:4
Walton         		Mean: 153.43 		Best: 902.2 		N:6

########## REPORT GEN: 4 ##########
SPECIES: 
Elson          		Mean: 237.3 		Best: 951.58 		N:4
Demond         		Mean: 146.71 		Best: 951.93 		N:7
Brown          		Mean: 188.25 		Best: 945.92 		N:5
Oneal          		Mean: 237.75 		Best: 945.92 		N:4
Bradley        		Mean: 185.63 		Best: 945.92 		N:5
Fennimore      		Mean: 193.35 		Best: 945.92 		N:5
Bruner         		Mean: 490.0 		Best: 945.92 		N:2
Wright         		Mean: 157.65 		Best: 945.92 		N:6
Baldwin        		Mean: 249.46 		Best: 945.92 		N:4
Burnham        		Mean: 128.42 		Best: 952.59 		N:8
Deloy          		Mean: 465.81 		Best: 945.92 		N:2
Reid           		Mean: 188.17 		Best: 927.65 		N:5
Walton         		Mean: 235.19 		Best: 902.2 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
Elson          		Mean: 187.88 		Best: 951.58 		N:5
Brown          		Mean: 237.45 		Best: 945.92 		N:4
Oneal          		Mean: 120.98 		Best: 945.92 		N:8
Bradley        		Mean: 235.24 		Best: 945.92 		N:4
Fennimore      		Mean: 242.38 		Best: 945.92 		N:4
Bruner         		Mean: 144.6 		Best: 945.92 		N:7
Wright         		Mean: 189.18 		Best: 945.92 		N:5
Burnham        		Mean: 242.17 		Best: 945.92 		N:4
Deloy          		Mean: 234.19 		Best: 945.92 		N:4
Demond         		Mean: 137.39 		Best: 939.86 		N:7
Baldwin        		Mean: 241.83 		Best: 939.86 		N:4
House          		Mean: 463.82 		Best: 927.65 		N:2
Reid           		Mean: 157.96 		Best: 927.65 		N:6

########## REPORT GEN: 6 ##########
SPECIES: 
Elson          		Mean: 185.83 		Best: 951.58 		N:5
Brown          		Mean: 157.01 		Best: 945.92 		N:6
Oneal          		Mean: 239.7 		Best: 945.92 		N:4
Bradley        		Mean: 156.48 		Best: 945.92 		N:6
Fennimore      		Mean: 191.37 		Best: 945.92 		N:5
Wright         		Mean: 137.27 		Best: 945.92 		N:7
