########## REPORT GEN: 2 ##########
SPECIES: 
Brown          		Mean: 138.74 		Best: 653.98 		N:4
Ingram         		Mean: 273.68 		Best: 547.36 		N:2
Kitchel        		Mean: 52.43 		Best: 531.09 		N:9
Day            		Mean: 49.51 		Best: 531.4 		N:10
Brannon        		Mean: 175.77 		Best: 527.46 		N:3
Flores         		Mean: 30.27 		Best: 550.0 		N:16
Mcelreavy      		Mean: 248.09 		Best: 510.31 		N:2
Wilkes         		Mean: 99.08 		Best: 501.8 		N:5
Avery          		Mean: 31.54 		Best: 481.26 		N:15
Williams       		Mean: 28.01 		Best: 480.72 		N:17
West           		Mean: 221.68 		Best: 443.36 		N:2
Longie         		Mean: 225.75 		Best: 443.36 		N:2
Cole           		Mean: 201.08 		Best: 402.15 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Brown          		Mean: 86.13 		Best: 653.98 		N:6
Conley         		Mean: 120.82 		Best: 653.98 		N:5
Ingram         		Mean: 296.79 		Best: 618.62 		N:2
Kitchel        		Mean: 45.59 		Best: 555.11 		N:11
Flores         		Mean: 73.68 		Best: 555.11 		N:7
Day            		Mean: 272.43 		Best: 531.09 		N:2
Brannon        		Mean: 133.72 		Best: 527.46 		N:4
Cole           		Mean: 109.34 		Best: 526.22 		N:4
Mcelreavy      		Mean: 100.87 		Best: 510.31 		N:5
Avery          		Mean: 81.74 		Best: 501.8 		N:6
Evans          		Mean: 230.66 		Best: 457.3 		N:2
West           		Mean: 111.34 		Best: 443.36 		N:4
Longie         		Mean: 112.35 		Best: 443.36 		N:4
Mobley         		Mean: 143.83 		Best: 443.36 		N:3
Carter         		Mean: 111.25 		Best: 443.36 		N:4
Williams       		Mean: 116.16 		Best: 443.36 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Brown          		Mean: 74.41 		Best: 653.98 		N:7
Ingram         		Mean: 89.25 		Best: 653.98 		N:6
Williams       		Mean: 64.28 		Best: 653.98 		N:8
Silveri        		Mean: 105.19 		Best: 618.62 		N:5
Mobley         		Mean: 81.7 		Best: 618.62 		N:6
Conley         		Mean: 75.89 		Best: 549.55 		N:7
Avery          		Mean: 122.4 		Best: 547.36 		N:4
Carter         		Mean: 69.75 		Best: 547.36 		N:7
Kitchel        		Mean: 100.51 		Best: 531.09 		N:5
Flores         		Mean: 163.87 		Best: 527.46 		N:3
Brannon        		Mean: 120.59 		Best: 527.46 		N:4
Cole           		Mean: 171.33 		Best: 526.22 		N:3
Wilkes         		Mean: 161.5 		Best: 510.31 		N:3
Han            		Mean: 226.54 		Best: 459.03 		N:2
Evans          		Mean: 231.37 		Best: 457.3 		N:2
Longie         		Mean: 112.72 		Best: 443.36 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
