########## REPORT GEN: 2 ##########
SPECIES: 
Kave           		Mean: 89.3 		Best: 482.31 		N:5
Keene          		Mean: 19.31 		Best: 454.24 		N:21
Griswold       		Mean: 96.62 		Best: 427.89 		N:4
Smith          		Mean: 14.58 		Best: 427.89 		N:27
Bruner         		Mean: 121.38 		Best: 427.89 		N:3
Byrd           		Mean: 19.09 		Best: 427.89 		N:20
Simmons        		Mean: 85.23 		Best: 392.38 		N:4
Coste          		Mean: 184.03 		Best: 368.06 		N:2
Bellinger      		Mean: 94.47 		Best: 367.32 		N:3
Lloyd          		Mean: 162.15 		Best: 321.37 		N:2
Wilson         		Mean: 137.05 		Best: 277.11 		N:2
Kavanagh       		Mean: 138.1 		Best: 277.11 		N:2
Fullerton      		Mean: 135.63 		Best: 271.27 		N:2
Lozoya         		Mean: 121.83 		Best: 241.47 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Kave           		Mean: 89.61 		Best: 482.31 		N:5
Bruner         		Mean: 77.64 		Best: 482.31 		N:5
Griswold       		Mean: 20.27 		Best: 454.24 		N:17
Smith          		Mean: 31.92 		Best: 427.89 		N:12
Byrd           		Mean: 48.63 		Best: 427.89 		N:7
Bellinger      		Mean: 27.29 		Best: 427.89 		N:13
Wallace        		Mean: 184.6 		Best: 427.89 		N:2
Hudson         		Mean: 183.63 		Best: 392.38 		N:2
Wilson         		Mean: 162.56 		Best: 369.13 		N:2
Keene          		Mean: 89.18 		Best: 368.06 		N:4
Coste          		Mean: 77.04 		Best: 368.06 		N:4
Johnson        		Mean: 68.15 		Best: 369.81 		N:5
Lloyd          		Mean: 80.69 		Best: 321.37 		N:4
Kavanagh       		Mean: 88.9 		Best: 277.11 		N:3
Fullerton      		Mean: 67.82 		Best: 271.27 		N:4
Simmons        		Mean: 122.11 		Best: 241.47 		N:2
Lozoya         		Mean: 81.72 		Best: 241.47 		N:3

########## REPORT GEN: 4 ##########
SPECIES: 
Bruner         		Mean: 37.63 		Best: 482.31 		N:9
Hudson         		Mean: 61.44 		Best: 482.31 		N:7
Hall           		Mean: 121.09 		Best: 454.24 		N:3
Wallace        		Mean: 37.12 		Best: 454.24 		N:10
Nash           		Mean: 47.33 		Best: 454.24 		N:7
Kave           		Mean: 124.46 		Best: 427.89 		N:3
Smith          		Mean: 49.43 		Best: 427.89 		N:7
Byrd           		Mean: 139.51 		Best: 427.89 		N:3
Keene          		Mean: 124.4 		Best: 427.89 		N:3
Johnson        		Mean: 79.3 		Best: 427.89 		N:5
Fullerton      		Mean: 32.17 		Best: 427.89 		N:11
Bellinger      		Mean: 88.9 		Best: 388.22 		N:4
Coste          		Mean: 165.99 		Best: 369.81 		N:2
Griswold       		Mean: 43.37 		Best: 368.06 		N:7
Kavanagh       		Mean: 97.56 		Best: 321.37 		N:3
Simmons        		Mean: 81.6 		Best: 241.47 		N:3
Lozoya         		Mean: 49.45 		Best: 241.47 		N:5

########## REPORT GEN: 5 ##########
SPECIES: 
Hudson         		Mean: 137.42 		Best: 482.31 		N:3
Hall           		Mean: 51.86 		Best: 482.31 		N:7
Keene          		Mean: 59.32 		Best: 482.31 		N:7
Lloyd          		Mean: 61.25 		Best: 482.31 		N:6
Bruner         		Mean: 67.47 		Best: 454.24 		N:6
Byrd           		Mean: 73.47 		Best: 454.24 		N:5
Simmons        		Mean: 59.6 		Best: 454.24 		N:5
Kave           		Mean: 51.39 		Best: 427.89 		N:7
Fullerton      		Mean: 59.09 		Best: 427.89 		N:7
Bellinger      		Mean: 53.37 		Best: 427.89 		N:7
Griswold       		Mean: 50.45 		Best: 427.89 		N:7
Coste          		Mean: 33.39 		Best: 392.38 		N:10
Wallace        		Mean: 62.17 		Best: 368.06 		N:5
Smith          		Mean: 58.9 		Best: 368.06 		N:5
Johnson        		Mean: 103.71 		Best: 368.06 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Hudson         		Mean: 69.96 		Best: 482.31 		N:6
Bruner         		Mean: 40.93 		Best: 482.31 		N:9
Simmons        		Mean: 37.83 		Best: 482.31 		N:9
Wallace        		Mean: 52.26 		Best: 482.31 		N:7
Fullerton      		Mean: 133.36 		Best: 454.24 		N:3
Griswold       		Mean: 41.43 		Best: 454.24 		N:9
Johnson        		Mean: 59.32 		Best: 454.24 		N:5
Keene          		Mean: 53.93 		Best: 427.89 		N:6
Lloyd          		Mean: 58.89 		Best: 427.89 		N:7
Bellinger      		Mean: 72.36 		Best: 427.89 		N:5
Nash           		Mean: 184.15 		Best: 427.89 		N:2
Kave           		Mean: 74.13 		Best: 369.13 		N:4
Hall           		Mean: 110.39 		Best: 368.06 		N:3
Byrd           		Mean: 46.13 		Best: 368.06 		N:6
Coste          		Mean: 96.39 		Best: 366.52 		N:3
