########## REPORT GEN: 2 ##########
SPECIES: 
Kimmer         		Mean: 477.4 		Best: 941.16 		N:2
Wheeles        		Mean: 482.06 		Best: 941.16 		N:2
Patterson      		Mean: 468.8 		Best: 941.16 		N:2
Frank          		Mean: 193.43 		Best: 941.16 		N:5
Argueta        		Mean: 472.83 		Best: 941.16 		N:2
Rathbun        		Mean: 74.83 		Best: 941.16 		N:13
Simoneavd      		Mean: 315.95 		Best: 941.16 		N:3
Wolf           		Mean: 164.86 		Best: 941.16 		N:6
Hoffarth       		Mean: 473.4 		Best: 941.16 		N:2
Roberts        		Mean: 234.28 		Best: 941.16 		N:4
Gunia          		Mean: 191.01 		Best: 941.16 		N:5
Gordon         		Mean: 240.77 		Best: 941.16 		N:4
Hernandez      		Mean: 482.32 		Best: 941.16 		N:2
Vogt           		Mean: 470.58 		Best: 941.16 		N:2
Larson         		Mean: 157.42 		Best: 941.16 		N:6
James          		Mean: 309.81 		Best: 929.42 		N:3
Pidgeon        		Mean: 312.47 		Best: 925.49 		N:3
Symes          		Mean: 461.92 		Best: 923.85 		N:2
Drake          		Mean: 461.92 		Best: 923.85 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Patterson      		Mean: 233.5 		Best: 941.16 		N:4
Frank          		Mean: 242.81 		Best: 941.16 		N:4
Argueta        		Mean: 235.29 		Best: 941.16 		N:4
Simoneavd      		Mean: 474.44 		Best: 941.16 		N:2
Berry          		Mean: 190.8 		Best: 941.16 		N:5
Kimmer         		Mean: 193.28 		Best: 941.16 		N:5
Hoffarth       		Mean: 317.02 		Best: 941.16 		N:3
Smith          		Mean: 474.28 		Best: 941.16 		N:2
Roberts        		Mean: 315.11 		Best: 941.16 		N:3
Gunia          		Mean: 472.42 		Best: 941.16 		N:2
Gordon         		Mean: 316.52 		Best: 941.16 		N:3
Hernandez      		Mean: 475.32 		Best: 941.16 		N:2
Vogt           		Mean: 477.1 		Best: 941.16 		N:2
Curry          		Mean: 469.6 		Best: 941.16 		N:2
Rathbun        		Mean: 161.6 		Best: 941.16 		N:6
Wolf           		Mean: 467.03 		Best: 929.42 		N:2
Larson         		Mean: 237.97 		Best: 941.16 		N:4
Pidgeon        		Mean: 308.5 		Best: 925.49 		N:3
Symes          		Mean: 309.85 		Best: 923.85 		N:3
Drake          		Mean: 231.64 		Best: 923.85 		N:4
Davis          		Mean: 461.86 		Best: 923.72 		N:2

########## REPORT GEN: 4 ##########
SPECIES: 
Patterson      		Mean: 469.4 		Best: 941.16 		N:2
Simoneavd      		Mean: 242.39 		Best: 941.16 		N:4
Hernandez      		Mean: 317.64 		Best: 941.16 		N:3
Davis          		Mean: 235.35 		Best: 941.16 		N:4
Kimmer         		Mean: 317.4 		Best: 941.16 		N:3
Hoffarth       		Mean: 475.06 		Best: 941.16 		N:2
Smith          		Mean: 313.72 		Best: 941.16 		N:3
Roberts        		Mean: 317.27 		Best: 941.16 		N:3
Gunia          		Mean: 235.85 		Best: 941.16 		N:4
Gordon         		Mean: 472.31 		Best: 941.16 		N:2
Travis         		Mean: 473.03 		Best: 941.16 		N:2
Vogt           		Mean: 160.52 		Best: 941.16 		N:6
James          		Mean: 238.94 		Best: 941.16 		N:4
Curry          		Mean: 320.99 		Best: 941.16 		N:3
Zook           		Mean: 470.58 		Best: 941.16 		N:2
Wolf           		Mean: 238.32 		Best: 941.16 		N:4
Larson         		Mean: 467.88 		Best: 929.42 		N:2
Pidgeon        		Mean: 462.75 		Best: 925.49 		N:2
Drake          		Mean: 461.92 		Best: 923.85 		N:2
Berry          		Mean: 466.93 		Best: 923.72 		N:2
Avila          		Mean: 311.35 		Best: 908.43 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Patterson      		Mean: 468.9 		Best: 941.16 		N:2
Argueta        		Mean: 315.02 		Best: 941.16 		N:3
Hoffarth       		Mean: 160.2 		Best: 941.16 		N:6
Gunia          		Mean: 317.75 		Best: 941.16 		N:3
Simoneavd      		Mean: 475.66 		Best: 941.16 		N:2
Hernandez      		Mean: 470.58 		Best: 941.16 		N:2
Davis          		Mean: 159.93 		Best: 941.16 		N:6
Smith          		Mean: 472.52 		Best: 941.16 		N:2
Roberts        		Mean: 239.79 		Best: 941.16 		N:4
Travis         		Mean: 316.52 		Best: 941.16 		N:3
James          		Mean: 239.83 		Best: 941.16 		N:4
Curry          		Mean: 470.58 		Best: 941.16 		N:2
Pidgeon        		Mean: 312.97 		Best: 941.16 		N:3
Avila          		Mean: 469.11 		Best: 941.16 		N:2
Brooks         		Mean: 468.71 		Best: 941.16 		N:2
Larson         		Mean: 468.73 		Best: 929.42 		N:2
Drake          		Mean: 307.95 		Best: 923.85 		N:3
Wheeles        		Mean: 234.56 		Best: 923.85 		N:4
