########## REPORT GEN: 2 ##########
SPECIES: 
Newberry       		Mean: 17.79 		Best: 800.09 		N:29
Valerius       		Mean: 31.34 		Best: 684.71 		N:15
Hoyman         		Mean: 47.86 		Best: 643.62 		N:10
Cunningham     		Mean: 293.02 		Best: 626.98 		N:2
Sutton         		Mean: 74.27 		Best: 600.1 		N:7
Nelson         		Mean: 155.74 		Best: 546.97 		N:3
Bailey         		Mean: 246.6 		Best: 542.39 		N:2
Blechman       		Mean: 220.88 		Best: 539.83 		N:2
Mcduffy        		Mean: 51.8 		Best: 543.92 		N:9
Hendershot     		Mean: 237.59 		Best: 517.75 		N:2
Driver         		Mean: 196.01 		Best: 483.49 		N:2
Guerin         		Mean: 172.89 		Best: 370.82 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Nelson         		Mean: 84.21 		Best: 913.35 		N:6
Weaver         		Mean: 94.5 		Best: 768.37 		N:5
Mcduffy        		Mean: 320.75 		Best: 742.8 		N:2
Hendershot     		Mean: 76.32 		Best: 612.63 		N:6
Macias         		Mean: 85.72 		Best: 592.55 		N:5
Driver         		Mean: 110.87 		Best: 541.15 		N:4
Cunningham     		Mean: 106.81 		Best: 535.67 		N:4
Abdo           		Mean: 80.79 		Best: 515.27 		N:5
Valerius       		Mean: 144.93 		Best: 507.81 		N:3
Franca         		Mean: 83.35 		Best: 495.36 		N:5
Guerin         		Mean: 157.25 		Best: 482.71 		N:3
Flens          		Mean: 127.73 		Best: 467.63 		N:3
Paddio         		Mean: 180.45 		Best: 446.48 		N:2
Rector         		Mean: 114.73 		Best: 440.04 		N:3
Filion         		Mean: 193.2 		Best: 438.7 		N:2
Bailey         		Mean: 127.37 		Best: 410.79 		N:3
Newberry       		Mean: 91.79 		Best: 375.23 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Hoyman         		Mean: 135.97 		Best: 733.27 		N:4
Blechman       		Mean: 260.45 		Best: 585.01 		N:2
Weaver         		Mean: 72.12 		Best: 576.34 		N:6
Jordan         		Mean: 104.0 		Best: 559.0 		N:4
Hendershot     		Mean: 149.55 		Best: 545.39 		N:3
Franca         		Mean: 92.52 		Best: 527.6 		N:5
Chiarelli      		Mean: 86.98 		Best: 508.78 		N:5
Flens          		Mean: 110.63 		Best: 505.27 		N:4
Driver         		Mean: 141.7 		Best: 502.22 		N:3
Bailey         		Mean: 61.56 		Best: 485.09 		N:7
Mcduffy        		Mean: 221.86 		Best: 471.33 		N:2
Macias         		Mean: 60.97 		Best: 467.76 		N:6
Rector         		Mean: 197.96 		Best: 465.8 		N:2
Valerius       		Mean: 195.21 		Best: 464.35 		N:2
Guerin         		Mean: 100.59 		Best: 461.25 		N:4
Nelson         		Mean: 92.76 		Best: 443.22 		N:4
Newberry       		Mean: 192.75 		Best: 398.29 		N:2
