########## REPORT GEN: 2 ##########
SPECIES: 
Miles          		Mean: 300.5 		Best: 901.56 		N:3
Wilson         		Mean: 37.42 		Best: 901.86 		N:26
Campbell       		Mean: 305.16 		Best: 901.54 		N:3
Sides          		Mean: 136.4 		Best: 902.3 		N:7
Stark          		Mean: 85.88 		Best: 901.54 		N:11
Crawford       		Mean: 31.65 		Best: 901.86 		N:31
Siefke         		Mean: 42.7 		Best: 904.26 		N:23

########## REPORT GEN: 3 ##########
SPECIES: 
Christian      		Mean: 115.71 		Best: 902.3 		N:8
Miles          		Mean: 151.36 		Best: 902.18 		N:6
Crawford       		Mean: 300.54 		Best: 901.62 		N:3
Campbell       		Mean: 131.23 		Best: 901.54 		N:7
Sides          		Mean: 103.43 		Best: 901.54 		N:9
Stark          		Mean: 60.25 		Best: 901.86 		N:16
Wilson         		Mean: 94.16 		Best: 905.04 		N:10
Hanson         		Mean: 300.19 		Best: 900.77 		N:3
Horton         		Mean: 231.91 		Best: 900.88 		N:4
Kurtz          		Mean: 227.57 		Best: 900.47 		N:4
Denton         		Mean: 300.15 		Best: 900.46 		N:3
Siefke         		Mean: 157.49 		Best: 901.86 		N:6

########## REPORT GEN: 4 ##########
SPECIES: 
Murray         		Mean: 454.5 		Best: 909.0 		N:2
Miles          		Mean: 182.84 		Best: 902.18 		N:5
Stark          		Mean: 226.23 		Best: 901.9 		N:4
Mcqueen        		Mean: 450.93 		Best: 901.86 		N:2
Kurtz          		Mean: 150.94 		Best: 901.62 		N:6
Christian      		Mean: 157.65 		Best: 902.3 		N:6
Campbell       		Mean: 228.92 		Best: 901.54 		N:4
Sides          		Mean: 304.54 		Best: 901.54 		N:3
Porter         		Mean: 188.24 		Best: 901.62 		N:5
Parker         		Mean: 467.34 		Best: 901.54 		N:2
Crawford       		Mean: 234.68 		Best: 901.39 		N:4
Bitter         		Mean: 312.85 		Best: 901.39 		N:3
Hanson         		Mean: 150.09 		Best: 900.77 		N:6
Mclemore       		Mean: 307.61 		Best: 900.77 		N:3
Wade           		Mean: 308.6 		Best: 901.39 		N:3
Horton         		Mean: 131.09 		Best: 900.88 		N:7
Denton         		Mean: 150.08 		Best: 900.46 		N:6
Siefke         		Mean: 311.46 		Best: 900.46 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Murray         		Mean: 456.32 		Best: 909.0 		N:2
Denton         		Mean: 454.5 		Best: 909.0 		N:2
Miles          		Mean: 304.17 		Best: 902.18 		N:3
Porter         		Mean: 95.78 		Best: 902.44 		N:10
Horton         		Mean: 186.55 		Best: 901.62 		N:5
Stark          		Mean: 230.76 		Best: 901.54 		N:4
Christian      		Mean: 312.93 		Best: 901.54 		N:3
Campbell       		Mean: 456.23 		Best: 901.54 		N:2
Sides          		Mean: 313.4 		Best: 901.54 		N:3
Parker         		Mean: 80.46 		Best: 901.86 		N:12
Crawford       		Mean: 189.55 		Best: 901.54 		N:5
Wade           		Mean: 310.47 		Best: 901.56 		N:3
Kurtz          		Mean: 188.39 		Best: 901.62 		N:5
Bollinger      		Mean: 457.15 		Best: 900.77 		N:2
Bitter         		Mean: 96.03 		Best: 901.62 		N:10
Wilson         		Mean: 183.0 		Best: 900.77 		N:5
Hanson         		Mean: 308.68 		Best: 900.88 		N:3
Mclemore       		Mean: 118.31 		Best: 901.9 		N:8
Siefke         		Mean: 466.52 		Best: 900.46 		N:2
Mcqueen        		Mean: 309.26 		Best: 901.86 		N:3
Bowers         		Mean: 302.12 		Best: 900.42 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Horton         		Mean: 87.43 		Best: 914.36 		N:11
Murray         		Mean: 313.12 		Best: 909.0 		N:3
Denton         		Mean: 235.82 		Best: 909.0 		N:4
Sides          		Mean: 86.1 		Best: 909.0 		N:11
Bitter         		Mean: 95.83 		Best: 909.0 		N:10
Mclemore       		Mean: 189.84 		Best: 909.0 		N:5
Mcqueen        		Mean: 234.1 		Best: 909.0 		N:4
Bowers         		Mean: 309.55 		Best: 901.86 		N:3
Campbell       		Mean: 227.61 		Best: 901.54 		N:4
Parker         		Mean: 452.07 		Best: 901.54 		N:2
Burr           		Mean: 185.84 		Best: 901.54 		N:5
Siefke         		Mean: 135.13 		Best: 901.86 		N:7
Wade           		Mean: 134.07 		Best: 902.18 		N:7
Hanson         		Mean: 461.7 		Best: 900.77 		N:2
Crawford       		Mean: 105.72 		Best: 901.56 		N:9
Wilson         		Mean: 133.22 		Best: 901.54 		N:7
Christian      		Mean: 312.67 		Best: 901.54 		N:3
Porter         		Mean: 310.7 		Best: 901.39 		N:3
Miles          		Mean: 118.85 		Best: 902.18 		N:8

########## REPORT GEN: 7 ##########
SPECIES: 
Bowers         		Mean: 119.09 		Best: 934.03 		N:8
Mclemore       		Mean: 314.38 		Best: 909.0 		N:3
Mcqueen        		Mean: 86.89 		Best: 909.0 		N:11
Campbell       		Mean: 157.7 		Best: 909.0 		N:6
Parker         		Mean: 156.66 		Best: 909.0 		N:6
Siefke         		Mean: 188.71 		Best: 909.0 		N:5
Hanson         		Mean: 117.48 		Best: 901.62 		N:8
Denton         		Mean: 186.17 		Best: 901.56 		N:5
Christian      		Mean: 188.52 		Best: 909.13 		N:5
Burr           		Mean: 234.14 		Best: 901.54 		N:4
Horton         		Mean: 234.14 		Best: 901.62 		N:4
Bitter         		Mean: 461.83 		Best: 900.77 		N:2
Wilson         		Mean: 459.77 		Best: 900.77 		N:2
Crawford       		Mean: 157.62 		Best: 900.77 		N:6
Murray         		Mean: 86.05 		Best: 909.0 		N:11
Sides          		Mean: 233.64 		Best: 901.54 		N:4
Kurtz          		Mean: 187.68 		Best: 901.39 		N:5
Porter         		Mean: 188.58 		Best: 901.54 		N:5
Stark          		Mean: 236.47 		Best: 901.54 		N:4

########## REPORT GEN: 8 ##########
SPECIES: 
