########## REPORT GEN: 2 ##########
SPECIES: 
Goto           		Mean: 229.82 		Best: 900.71 		N:4
Robinson       		Mean: 93.38 		Best: 900.76 		N:10
Dunaway        		Mean: 452.01 		Best: 900.67 		N:2
Myers          		Mean: 309.78 		Best: 900.67 		N:3
Shanklin       		Mean: 185.5 		Best: 900.67 		N:5
Horton         		Mean: 450.34 		Best: 900.67 		N:2
Curl           		Mean: 450.34 		Best: 900.67 		N:2
Frazier        		Mean: 458.83 		Best: 900.67 		N:2
Wilhoite       		Mean: 232.79 		Best: 900.67 		N:4
Bridge         		Mean: 452.84 		Best: 900.64 		N:2
Labossiere     		Mean: 451.52 		Best: 900.64 		N:2
Swiger         		Mean: 85.03 		Best: 900.67 		N:11
Moody          		Mean: 85.13 		Best: 900.71 		N:11
Schaffner      		Mean: 232.02 		Best: 900.71 		N:4

########## REPORT GEN: 3 ##########
SPECIES: 
Goto           		Mean: 187.07 		Best: 900.76 		N:5
Myers          		Mean: 460.8 		Best: 900.67 		N:2
Shanklin       		Mean: 462.0 		Best: 900.67 		N:2
Horton         		Mean: 305.17 		Best: 900.67 		N:3
Bartsch        		Mean: 312.38 		Best: 900.67 		N:3
Curl           		Mean: 309.25 		Best: 900.67 		N:3
Frazier        		Mean: 156.35 		Best: 900.67 		N:6
Bridge         		Mean: 154.58 		Best: 900.67 		N:6
Robinson       		Mean: 133.58 		Best: 900.67 		N:7
Dunaway        		Mean: 186.0 		Best: 900.66 		N:5
Wilhoite       		Mean: 185.69 		Best: 900.67 		N:5
Labossiere     		Mean: 452.27 		Best: 900.64 		N:2
Swiger         		Mean: 308.8 		Best: 900.67 		N:3
Schaffner      		Mean: 185.55 		Best: 900.71 		N:5

########## REPORT GEN: 4 ##########
SPECIES: 
Moody          		Mean: 231.11 		Best: 900.79 		N:4
Goto           		Mean: 458.17 		Best: 900.67 		N:2
Myers          		Mean: 457.58 		Best: 900.67 		N:2
Shanklin       		Mean: 185.5 		Best: 900.67 		N:5
Daughtry       		Mean: 309.36 		Best: 900.67 		N:3
Bartsch        		Mean: 231.54 		Best: 900.67 		N:4
Wilhoite       		Mean: 310.3 		Best: 900.67 		N:3
Swiger         		Mean: 231.1 		Best: 900.71 		N:4
Frazier        		Mean: 308.63 		Best: 900.64 		N:3
Bridge         		Mean: 451.15 		Best: 900.64 		N:2
Robinson       		Mean: 306.9 		Best: 900.64 		N:3
Schaffner      		Mean: 300.21 		Best: 900.62 		N:3
Dunaway        		Mean: 229.97 		Best: 900.67 		N:4
Davis          		Mean: 153.89 		Best: 900.67 		N:6

########## REPORT GEN: 5 ##########
SPECIES: 
Myers          		Mean: 185.88 		Best: 900.67 		N:5
Moody          		Mean: 231.27 		Best: 900.78 		N:4
Shanklin       		Mean: 306.42 		Best: 900.67 		N:3
Daughtry       		Mean: 154.21 		Best: 900.67 		N:6
Curl           		Mean: 183.32 		Best: 900.67 		N:5
Swiger         		Mean: 184.51 		Best: 900.67 		N:5
Labossiere     		Mean: 183.93 		Best: 900.67 		N:5
Dunaway        		Mean: 185.57 		Best: 900.67 		N:5
Goto           		Mean: 231.67 		Best: 900.67 		N:4
Frazier        		Mean: 458.37 		Best: 900.64 		N:2
Robinson       		Mean: 308.54 		Best: 900.64 		N:3
Bartsch        		Mean: 306.48 		Best: 900.79 		N:3
Davis          		Mean: 305.03 		Best: 900.61 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Davis          		Mean: 307.6 		Best: 902.32 		N:3
Myers          		Mean: 457.76 		Best: 900.67 		N:2
Shanklin       		Mean: 231.39 		Best: 900.67 		N:4
Curl           		Mean: 303.04 		Best: 900.67 		N:3
Moody          		Mean: 307.54 		Best: 900.67 		N:3
Daughtry       		Mean: 131.77 		Best: 900.67 		N:7
Labossiere     		Mean: 230.64 		Best: 900.67 		N:4
Robinson       		Mean: 452.24 		Best: 900.64 		N:2
Frazier        		Mean: 131.97 		Best: 900.67 		N:7
Schaffner      		Mean: 184.77 		Best: 900.67 		N:5
Dunaway        		Mean: 306.73 		Best: 900.67 		N:3
Horton         		Mean: 230.1 		Best: 900.64 		N:4
Bartsch        		Mean: 102.67 		Best: 900.67 		N:9

########## REPORT GEN: 7 ##########
SPECIES: 
Schaffner      		Mean: 229.59 		Best: 902.77 		N:4
Horton         		Mean: 132.57 		Best: 902.32 		N:7
Goto           		Mean: 131.92 		Best: 901.37 		N:7
Swiger         		Mean: 305.49 		Best: 902.32 		N:3
Moody          		Mean: 182.34 		Best: 900.67 		N:5
Labossiere     		Mean: 457.31 		Best: 900.67 		N:2
Robinson       		Mean: 230.64 		Best: 903.88 		N:4
Frazier        		Mean: 455.74 		Best: 900.67 		N:2
Dunaway        		Mean: 457.31 		Best: 900.67 		N:2
Curl           		Mean: 457.29 		Best: 900.62 		N:2
Daughtry       		Mean: 230.15 		Best: 900.62 		N:4
Myers          		Mean: 184.02 		Best: 900.64 		N:5
Shanklin       		Mean: 229.65 		Best: 900.64 		N:4
Bartsch        		Mean: 184.2 		Best: 900.64 		N:5
Davis          		Mean: 305.68 		Best: 900.64 		N:3

########## REPORT GEN: 8 ##########
SPECIES: 
Curl           		Mean: 183.99 		Best: 902.77 		N:5
Davis          		Mean: 305.53 		Best: 900.67 		N:3
Moody          		Mean: 183.69 		Best: 900.67 		N:5
Frazier        		Mean: 131.44 		Best: 900.67 		N:7
Horton         		Mean: 152.82 		Best: 900.64 		N:6
