########## REPORT GEN: 2 ##########
SPECIES: 
Edward         		Mean: 0.66 		Best: 9.6 		Nº:11
Kidd           		Mean: 0.52 		Best: 9.6 		Nº:10
Headley        		Mean: 0.27 		Best: 9.6 		Nº:6
Rodriguez      		Mean: 0.27 		Best: 9.6 		Nº:14
Clary          		Mean: 0.34 		Best: 9.6 		Nº:9
Jones          		Mean: 4.12 		Best: 8.71 		Nº:2
Oconnor        		Mean: 0.55 		Best: 8.71 		Nº:4
Sanchez        		Mean: 4.38 		Best: 8.71 		Nº:2
Vick           		Mean: 2.23 		Best: 8.71 		Nº:2
Haine          		Mean: 1.95 		Best: 7.77 		Nº:2
Jackson        		Mean: 0.49 		Best: 7.77 		Nº:4
Mcbride        		Mean: 1.47 		Best: 7.77 		Nº:4
Ransdell       		Mean: 0.49 		Best: 7.77 		Nº:4

########## REPORT GEN: 3 ##########
SPECIES: 
Edward         		Mean: 1.4  		Best: 9.6 		Nº:5
Kidd           		Mean: 0.39 		Best: 9.6 		Nº:5
Headley        		Mean: 1.95 		Best: 9.6 		Nº:3
Rodriguez      		Mean: 0.74 		Best: 9.6 		Nº:7
Clary          		Mean: 2.25 		Best: 9.6 		Nº:4
Magana         		Mean: 4.34 		Best: 9.6 		Nº:2
Holcombe       		Mean: 2.4  		Best: 9.6 		Nº:2
Haine          		Mean: 1.15 		Best: 9.6 		Nº:4
Mcbride        		Mean: 1.09 		Best: 9.6 		Nº:5
Ransdell       		Mean: 2.41 		Best: 9.6 		Nº:2
Stoica         		Mean: 2.42 		Best: 9.6 		Nº:2
Jones          		Mean: 2.12 		Best: 8.71 		Nº:4
Sanchez        		Mean: 1.09 		Best: 8.71 		Nº:4
Vick           		Mean: 0.55 		Best: 8.71 		Nº:4
Jackson        		Mean: 4.39 		Best: 8.71 		Nº:2
Oconnor        		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 4 ##########
SPECIES: 
Clary          		Mean: 0.79 		Best: 9.6 		Nº:8
Magana         		Mean: 1.69 		Best: 9.6 		Nº:4
Holcombe       		Mean: 1.69 		Best: 9.6 		Nº:4
Haine          		Mean: 1.2  		Best: 9.6 		Nº:4
Mcbride        		Mean: 1.09 		Best: 9.6 		Nº:4
Jones          		Mean: 0.53 		Best: 9.6 		Nº:8
Sanchez        		Mean: 2.36 		Best: 9.6 		Nº:4
Jackson        		Mean: 1.4  		Best: 9.6 		Nº:5
Edward         		Mean: 1.36 		Best: 8.71 		Nº:5
Kidd           		Mean: 2.18 		Best: 8.71 		Nº:2
Headley        		Mean: 0.46 		Best: 8.71 		Nº:6
Stoica         		Mean: 0.55 		Best: 8.71 		Nº:4
Vick           		Mean: 2.2  		Best: 8.71 		Nº:2
Ransdell       		Mean: 0.49 		Best: 7.77 		Nº:4
Schluter       		Mean: 3.89 		Best: 7.77 		Nº:2
Rodriguez      		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 5 ##########
SPECIES: 
Clary          		Mean: 2.3  		Best: 9.6 		Nº:4
Magana         		Mean: 0.56 		Best: 9.6 		Nº:8
Holcombe       		Mean: 0.94 		Best: 9.6 		Nº:8
Mcbride        		Mean: 1.4  		Best: 9.6 		Nº:5
Sanchez        		Mean: 0.85 		Best: 9.6 		Nº:8
Jackson        		Mean: 0.75 		Best: 9.6 		Nº:7
Edward         		Mean: 0.54 		Best: 9.6 		Nº:6
Kidd           		Mean: 1.15 		Best: 9.6 		Nº:4
Stoica         		Mean: 4.6  		Best: 9.6 		Nº:2
Schluter       		Mean: 1.57 		Best: 9.6 		Nº:4
Oconnor        		Mean: 2.4  		Best: 9.6 		Nº:2
Haine          		Mean: 0.24 		Best: 8.71 		Nº:6
Jones          		Mean: 1.09 		Best: 8.71 		Nº:4
Rodriguez      		Mean: 2.19 		Best: 8.71 		Nº:2
Headley        		Mean: 0.87 		Best: 7.77 		Nº:3
Ransdell       		Mean: 3.89 		Best: 7.77 		Nº:2
Vick           		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 6 ##########
SPECIES: 
Holcombe       		Mean: 1.01 		Best: 9.6 		Nº:5
Sanchez        		Mean: 1.78 		Best: 9.6 		Nº:5
Jackson        		Mean: 1.63 		Best: 9.6 		Nº:4
Edward         		Mean: 1.09 		Best: 9.6 		Nº:4
Stoica         		Mean: 2.24 		Best: 9.6 		Nº:4
Schluter       		Mean: 0.72 		Best: 9.6 		Nº:8
Oconnor        		Mean: 2.17 		Best: 9.6 		Nº:4
Rodriguez      		Mean: 1.2  		Best: 9.6 		Nº:4
Clary          		Mean: 0.62 		Best: 8.71 		Nº:8
Magana         		Mean: 2.0  		Best: 8.71 		Nº:4
Mcbride        		Mean: 0.53 		Best: 8.71 		Nº:8
Headley        		Mean: 0.35 		Best: 8.71 		Nº:5
Ransdell       		Mean: 2.18 		Best: 8.71 		Nº:4
Vick           		Mean: 2.19 		Best: 8.71 		Nº:2
Jones          		Mean: 0.43 		Best: 7.77 		Nº:6
Kidd           		Mean: 0.0  		Best: 0.0 		Nº:6
Haine          		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 7 ##########
SPECIES: 
Holcombe       		Mean: 0.71 		Best: 9.6 		Nº:7
Edward         		Mean: 0.68 		Best: 9.6 		Nº:8
Stoica         		Mean: 0.7  		Best: 9.6 		Nº:8
Schluter       		Mean: 1.47 		Best: 9.6 		Nº:5
Oconnor        		Mean: 0.95 		Best: 9.6 		Nº:8
Rodriguez      		Mean: 0.81 		Best: 9.6 		Nº:8
Clary          		Mean: 1.63 		Best: 9.6 		Nº:4
Magana         		Mean: 1.1  		Best: 9.6 		Nº:8
Mcbride        		Mean: 0.6  		Best: 9.6 		Nº:4
Headley        		Mean: 2.41 		Best: 9.6 		Nº:2
Ransdell       		Mean: 0.41 		Best: 9.6 		Nº:8
Vick           		Mean: 0.61 		Best: 9.6 		Nº:4
Kidd           		Mean: 2.04 		Best: 9.6 		Nº:3
Sanchez        		Mean: 0.5  		Best: 8.71 		Nº:10
Jackson        		Mean: 0.62 		Best: 8.71 		Nº:8
Jones          		Mean: 1.94 		Best: 8.71 		Nº:3
Combs          		Mean: 2.19 		Best: 8.71 		Nº:2

########## REPORT GEN: 8 ##########
SPECIES: 
Holcombe       		Mean: 1.04 		Best: 9.6 		Nº:5
Stoica         		Mean: 1.32 		Best: 9.6 		Nº:5
Schluter       		Mean: 0.76 		Best: 9.6 		Nº:10
Oconnor        		Mean: 0.71 		Best: 9.6 		Nº:7
Rodriguez      		Mean: 1.24 		Best: 9.6 		Nº:6
Clary          		Mean: 0.86 		Best: 9.6 		Nº:8
Magana         		Mean: 0.53 		Best: 9.6 		Nº:8
