########## REPORT GEN: 2 ##########
SPECIES: 
Manuel         		Mean: 28.34 		Best: 1114.04 		N:25
Gillespie      		Mean: 277.07 		Best: 1112.26 		N:3
Higgenbotham   		Mean: 83.62 		Best: 1109.65 		N:8
Colosimo       		Mean: 85.13 		Best: 749.87 		N:8
Burmeister     		Mean: 43.66 		Best: 637.6 		N:15
Brown          		Mean: 313.9 		Best: 628.06 		N:2
Jessup         		Mean: 106.41 		Best: 628.16 		N:6
Verne          		Mean: 163.92 		Best: 627.97 		N:4
Jones          		Mean: 312.86 		Best: 627.55 		N:2
Korando        		Mean: 130.95 		Best: 633.22 		N:5
Cutler         		Mean: 316.5 		Best: 627.31 		N:2
Turpin         		Mean: 284.05 		Best: 571.16 		N:2
Bradley        		Mean: 282.88 		Best: 565.89 		N:2
Strawn         		Mean: 230.99 		Best: 462.72 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Colosimo       		Mean: 61.71 		Best: 1116.84 		N:12
Burmeister     		Mean: 152.2 		Best: 1116.78 		N:5
Jessup         		Mean: 77.38 		Best: 1113.85 		N:10
Cutler         		Mean: 440.25 		Best: 1098.31 		N:2
Manuel         		Mean: 96.12 		Best: 1051.6 		N:7
Korando        		Mean: 109.48 		Best: 779.92 		N:6
Rincon         		Mean: 211.9 		Best: 767.13 		N:3
Olson          		Mean: 353.68 		Best: 752.76 		N:2
Jones          		Mean: 139.74 		Best: 752.54 		N:5
Quiroz         		Mean: 233.94 		Best: 743.54 		N:3
Higgenbotham   		Mean: 126.7 		Best: 629.18 		N:5
Gillespie      		Mean: 157.56 		Best: 627.33 		N:4
Bradley        		Mean: 141.42 		Best: 566.0 		N:4
Strawn         		Mean: 116.63 		Best: 464.79 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Higgenbotham   		Mean: 151.11 		Best: 1115.55 		N:6
Manuel         		Mean: 55.76 		Best: 1111.53 		N:13
Rincon         		Mean: 268.21 		Best: 1111.32 		N:3
Jones          		Mean: 74.03 		Best: 1097.15 		N:11
Korando        		Mean: 111.41 		Best: 780.92 		N:6
Olson          		Mean: 139.26 		Best: 766.56 		N:4
Jessup         		Mean: 185.29 		Best: 766.13 		N:4
Gallo          		Mean: 127.76 		Best: 752.0 		N:5
Verne          		Mean: 161.8 		Best: 750.37 		N:4
Bradley        		Mean: 235.05 		Best: 744.65 		N:3
Cutler         		Mean: 313.94 		Best: 628.13 		N:2
Gillespie      		Mean: 211.57 		Best: 627.56 		N:3
Burmeister     		Mean: 322.94 		Best: 627.48 		N:2
Brown          		Mean: 220.5 		Best: 567.5 		N:2
Strawn         		Mean: 234.1 		Best: 464.51 		N:2

########## REPORT GEN: 5 ##########
SPECIES: 
Bradley        		Mean: 86.67 		Best: 1116.93 		N:9
Korando        		Mean: 271.63 		Best: 1115.13 		N:3
Verne          		Mean: 95.56 		Best: 1111.58 		N:8
Higgenbotham   		Mean: 259.17 		Best: 1110.71 		N:3
Cutler         		Mean: 146.71 		Best: 1089.72 		N:6
Gillespie      		Mean: 154.03 		Best: 781.97 		N:4
Jessup         		Mean: 68.56 		Best: 781.95 		N:10
Rincon         		Mean: 133.23 		Best: 781.86 		N:5
Brown          		Mean: 358.56 		Best: 750.85 		N:2
Call           		Mean: 216.23 		Best: 750.62 		N:3
Manuel         		Mean: 84.41 		Best: 743.13 		N:8
Gallo          		Mean: 343.14 		Best: 686.36 		N:2
Jones          		Mean: 201.35 		Best: 633.19 		N:3
Burmeister     		Mean: 71.91 		Best: 628.09 		N:8
Strawn         		Mean: 84.44 		Best: 627.27 		N:6
Olson          		Mean: 298.38 		Best: 597.35 		N:2

########## REPORT GEN: 6 ##########
SPECIES: 
Manuel         		Mean: 139.9 		Best: 1115.94 		N:6
Jessup         		Mean: 96.21 		Best: 1115.92 		N:8
Gillespie      		Mean: 120.25 		Best: 1114.07 		N:6
Bradley        		Mean: 126.23 		Best: 1112.52 		N:6
Olson          		Mean: 99.47 		Best: 1110.03 		N:7
Burmeister     		Mean: 354.82 		Best: 781.25 		N:2
Verne          		Mean: 88.68 		Best: 781.11 		N:8
Brown          		Mean: 83.76 		Best: 781.77 		N:7
Korando        		Mean: 149.02 		Best: 780.05 		N:4
