########## REPORT GEN: 2 ##########
SPECIES: 
Ailes          		Mean: 85.13 		Best: 902.76 		N:11
Maciel         		Mean: 464.27 		Best: 900.88 		N:2
Reid           		Mean: 459.92 		Best: 900.72 		N:2
Wyatt          		Mean: 230.69 		Best: 900.71 		N:4
Walker         		Mean: 85.76 		Best: 900.76 		N:11
Karban         		Mean: 132.8 		Best: 900.67 		N:7
Garza          		Mean: 306.52 		Best: 900.67 		N:3
Ernest         		Mean: 230.0 		Best: 900.67 		N:4
Hager          		Mean: 452.89 		Best: 900.67 		N:2
Whittingham    		Mean: 154.98 		Best: 900.67 		N:6
Necaise        		Mean: 117.34 		Best: 900.71 		N:8
Smith          		Mean: 450.31 		Best: 900.61 		N:2
Eddings        		Mean: 154.53 		Best: 900.72 		N:6
Freeney        		Mean: 450.09 		Best: 900.18 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Eddings        		Mean: 463.09 		Best: 903.88 		N:2
Reid           		Mean: 307.32 		Best: 900.72 		N:3
Ailes          		Mean: 310.99 		Best: 900.67 		N:3
Walker         		Mean: 156.29 		Best: 902.76 		N:6
Garza          		Mean: 152.33 		Best: 900.98 		N:6
Ernest         		Mean: 462.26 		Best: 900.67 		N:2
Necaise        		Mean: 134.13 		Best: 903.39 		N:7
Hager          		Mean: 300.21 		Best: 900.64 		N:3
Maciel         		Mean: 156.72 		Best: 900.71 		N:6
Whittingham    		Mean: 104.16 		Best: 900.88 		N:9
Smith          		Mean: 153.28 		Best: 900.61 		N:6
Wyatt          		Mean: 117.12 		Best: 901.72 		N:8

########## REPORT GEN: 4 ##########
SPECIES: 
Whittingham    		Mean: 310.13 		Best: 903.88 		N:3
Ernest         		Mean: 185.83 		Best: 900.69 		N:5
Eddings        		Mean: 450.32 		Best: 900.67 		N:2
Ailes          		Mean: 186.36 		Best: 900.72 		N:5
Walker         		Mean: 232.9 		Best: 900.67 		N:4
Wyatt          		Mean: 183.49 		Best: 900.71 		N:5
Maciel         		Mean: 232.68 		Best: 900.67 		N:4
Hager          		Mean: 230.3 		Best: 900.64 		N:4
Reid           		Mean: 155.49 		Best: 900.67 		N:6
Necaise        		Mean: 185.75 		Best: 900.64 		N:5
Smith          		Mean: 458.56 		Best: 900.61 		N:2
Jones          		Mean: 301.66 		Best: 900.66 		N:3
Freeney        		Mean: 229.68 		Best: 900.61 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
Wyatt          		Mean: 133.26 		Best: 903.88 		N:7
Jones          		Mean: 184.67 		Best: 900.67 		N:5
Whittingham    		Mean: 459.91 		Best: 900.66 		N:2
Maciel         		Mean: 116.6 		Best: 900.71 		N:8
Walker         		Mean: 186.43 		Best: 900.71 		N:5
Freeney        		Mean: 153.01 		Best: 900.64 		N:6
Ernest         		Mean: 155.08 		Best: 900.67 		N:6
Hager          		Mean: 133.45 		Best: 900.67 		N:7
Duncan         		Mean: 458.48 		Best: 900.61 		N:2
Eddings        		Mean: 186.6 		Best: 901.2 		N:5
Smith          		Mean: 450.2 		Best: 900.41 		N:2
Reid           		Mean: 231.85 		Best: 900.88 		N:4

########## REPORT GEN: 6 ##########
SPECIES: 
Hager          		Mean: 308.43 		Best: 903.88 		N:3
Jones          		Mean: 459.02 		Best: 901.56 		N:2
Whittingham    		Mean: 459.98 		Best: 900.92 		N:2
Freeney        		Mean: 457.97 		Best: 900.82 		N:2
Eddings        		Mean: 305.16 		Best: 900.76 		N:3
Smith          		Mean: 457.93 		Best: 900.66 		N:2
Ernest         		Mean: 458.76 		Best: 900.64 		N:2
Reid           		Mean: 305.09 		Best: 900.69 		N:3
Duncan         		Mean: 152.5 		Best: 900.61 		N:6
Taylor         		Mean: 455.7 		Best: 900.54 		N:2
Maciel         		Mean: 93.38 		Best: 900.67 		N:10
Walker         		Mean: 307.47 		Best: 900.66 		N:3
Necaise        		Mean: 186.38 		Best: 900.67 		N:5

########## REPORT GEN: 7 ##########
SPECIES: 
Wyatt          		Mean: 185.29 		Best: 903.88 		N:5
