########## REPORT GEN: 2 ##########
SPECIES: 
Rodriguez      		Mean: 116.74 		Best: 906.71 		N:8
Griffin        		Mean: 233.45 		Best: 906.71 		N:4
Wininger       		Mean: 103.99 		Best: 906.71 		N:9
Curb           		Mean: 132.73 		Best: 906.1 		N:7
Labrum         		Mean: 231.76 		Best: 906.92 		N:4
Alfaro         		Mean: 116.14 		Best: 905.24 		N:8
Spence         		Mean: 104.44 		Best: 903.5 		N:9
Stahlberg      		Mean: 155.33 		Best: 906.91 		N:6
Cloutier       		Mean: 116.03 		Best: 900.9 		N:8
Shaw           		Mean: 187.35 		Best: 903.5 		N:5
Doyle          		Mean: 232.23 		Best: 900.9 		N:4
Hill           		Mean: 77.94 		Best: 903.5 		N:12

########## REPORT GEN: 3 ##########
SPECIES: 
Griffin        		Mean: 103.15 		Best: 906.71 		N:9
Stahlberg      		Mean: 185.32 		Best: 906.71 		N:5
Cloutier       		Mean: 103.42 		Best: 906.71 		N:9
Shaw           		Mean: 92.78 		Best: 906.71 		N:10
Alfaro         		Mean: 184.28 		Best: 906.4 		N:5
Hill           		Mean: 77.4 		Best: 906.1 		N:12
Rodriguez      		Mean: 61.86 		Best: 906.1 		N:15
Wininger       		Mean: 102.8 		Best: 905.24 		N:9
Curb           		Mean: 91.97 		Best: 906.92 		N:10
Labrum         		Mean: 115.98 		Best: 906.1 		N:8
Spence         		Mean: 132.03 		Best: 906.1 		N:7
Doyle          		Mean: 115.73 		Best: 900.9 		N:8

########## REPORT GEN: 4 ##########
SPECIES: 
Griffin        		Mean: 131.43 		Best: 906.71 		N:7
Alfaro         		Mean: 83.8 		Best: 906.71 		N:11
Rodriguez      		Mean: 92.31 		Best: 906.71 		N:10
Cloutier       		Mean: 83.95 		Best: 906.92 		N:11
Doyle          		Mean: 66.09 		Best: 906.1 		N:14
Wininger       		Mean: 102.76 		Best: 906.71 		N:9
Stahlberg      		Mean: 114.79 		Best: 905.24 		N:8
Shaw           		Mean: 76.37 		Best: 903.5 		N:12
Spence         		Mean: 83.21 		Best: 902.89 		N:11
Hill           		Mean: 102.12 		Best: 900.9 		N:9
Curb           		Mean: 77.09 		Best: 903.5 		N:12
Labrum         		Mean: 71.02 		Best: 906.1 		N:13

########## REPORT GEN: 5 ##########
SPECIES: 
Rodriguez      		Mean: 76.41 		Best: 906.71 		N:12
Shaw           		Mean: 70.51 		Best: 906.71 		N:13
Spence         		Mean: 83.5 		Best: 906.71 		N:11
Hill           		Mean: 61.2 		Best: 906.71 		N:15
Griffin        		Mean: 228.72 		Best: 906.4 		N:4
Stahlberg      		Mean: 101.7 		Best: 906.1 		N:9
Wininger       		Mean: 102.05 		Best: 905.77 		N:9
Curb           		Mean: 70.73 		Best: 905.1 		N:13
Alfaro         		Mean: 70.89 		Best: 905.77 		N:13
Cloutier       		Mean: 61.06 		Best: 903.5 		N:15
Doyle          		Mean: 65.58 		Best: 906.71 		N:14
Labrum         		Mean: 70.82 		Best: 905.9 		N:13

########## REPORT GEN: 6 ##########
SPECIES: 
Alfaro         		Mean: 83.02 		Best: 906.89 		N:11
Hill           		Mean: 83.21 		Best: 906.71 		N:11
Griffin        		Mean: 57.29 		Best: 906.71 		N:16
Cloutier       		Mean: 83.29 		Best: 906.71 		N:11
Doyle          		Mean: 152.29 		Best: 906.71 		N:6
Spence         		Mean: 75.79 		Best: 906.1 		N:12
Shaw           		Mean: 304.64 		Best: 905.1 		N:3
Rodriguez      		Mean: 91.12 		Best: 900.9 		N:10
Stahlberg      		Mean: 151.99 		Best: 900.9 		N:6
Wininger       		Mean: 70.1 		Best: 901.99 		N:13
Curb           		Mean: 76.27 		Best: 901.99 		N:12
Labrum         		Mean: 101.47 		Best: 900.9 		N:9

########## REPORT GEN: 7 ##########
SPECIES: 
Stahlberg      		Mean: 129.31 		Best: 907.14 		N:7
Alfaro         		Mean: 91.17 		Best: 906.71 		N:10
Hill           		Mean: 76.1 		Best: 906.71 		N:12
Cloutier       		Mean: 152.51 		Best: 906.71 		N:6
Doyle          		Mean: 129.86 		Best: 906.71 		N:7
Shaw           		Mean: 153.14 		Best: 906.89 		N:6
Curb           		Mean: 91.25 		Best: 906.1 		N:10
Rodriguez      		Mean: 75.93 		Best: 903.26 		N:12
Wininger       		Mean: 101.62 		Best: 900.9 		N:9
Labrum         		Mean: 70.08 		Best: 901.93 		N:13
Spence         		Mean: 113.24 		Best: 900.33 		N:8
Griffin        		Mean: 90.44 		Best: 899.02 		N:10

########## REPORT GEN: 8 ##########
SPECIES: 
Alfaro         		Mean: 90.68 		Best: 907.4 		N:10
Shaw           		Mean: 56.86 		Best: 906.89 		N:16
Curb           		Mean: 82.4 		Best: 907.14 		N:11
Labrum         		Mean: 64.83 		Best: 907.14 		N:14
Spence         		Mean: 75.89 		Best: 906.71 		N:12
Doyle          		Mean: 82.28 		Best: 906.89 		N:11
Rodriguez      		Mean: 76.06 		Best: 905.1 		N:12
Wininger       		Mean: 101.29 		Best: 906.71 		N:9
Cloutier       		Mean: 100.84 		Best: 904.48 		N:9
Stahlberg      		Mean: 90.84 		Best: 907.14 		N:10
Hill           		Mean: 150.99 		Best: 900.9 		N:6
Griffin        		Mean: 82.61 		Best: 907.14 		N:11

########## REPORT GEN: 9 ##########
SPECIES: 
Labrum         		Mean: 150.49 		Best: 907.4 		N:6
Stahlberg      		Mean: 64.85 		Best: 907.06 		N:14
Alfaro         		Mean: 75.47 		Best: 906.71 		N:12
Spence         		Mean: 75.41 		Best: 907.4 		N:12
Wininger       		Mean: 64.97 		Best: 907.4 		N:14
Griffin        		Mean: 82.1 		Best: 906.71 		N:11
Curb           		Mean: 129.81 		Best: 905.1 		N:7
Hill           		Mean: 90.85 		Best: 906.89 		N:10
Rodriguez      		Mean: 113.74 		Best: 905.1 		N:8
Cloutier       		Mean: 56.56 		Best: 902.04 		N:16
Shaw           		Mean: 64.79 		Best: 900.9 		N:14
Doyle          		Mean: 81.9 		Best: 898.35 		N:11

########## REPORT GEN: 10 ##########
SPECIES: 
Cloutier       		Mean: 225.14 		Best: 907.4 		N:4
Alfaro         		Mean: 56.51 		Best: 907.06 		N:16
Spence         		Mean: 69.62 		Best: 906.71 		N:13
Griffin        		Mean: 180.23 		Best: 906.71 		N:5
Shaw           		Mean: 53.18 		Best: 906.71 		N:17
Doyle          		Mean: 91.0 		Best: 905.28 		N:10
Wininger       		Mean: 151.18 		Best: 905.1 		N:6
Hill           		Mean: 53.16 		Best: 907.4 		N:17
Rodriguez      		Mean: 82.12 		Best: 906.89 		N:11
Labrum         		Mean: 112.79 		Best: 900.9 		N:8
Stahlberg      		Mean: 90.54 		Best: 900.9 		N:10
