########## REPORT GEN: 2 ##########
SPECIES: 
Welch          		Mean: 85.79 		Best: 911.79 		N:11
Peveler        		Mean: 465.71 		Best: 911.79 		N:2
Morrison       		Mean: 310.77 		Best: 911.79 		N:3
Estes          		Mean: 459.61 		Best: 911.79 		N:2
Young          		Mean: 185.7 		Best: 911.79 		N:5
Spann          		Mean: 134.56 		Best: 911.79 		N:7
Mullins        		Mean: 185.85 		Best: 911.79 		N:5
Santiago       		Mean: 307.55 		Best: 911.79 		N:3
Rodriguez      		Mean: 455.89 		Best: 911.79 		N:2
Anderson       		Mean: 455.89 		Best: 911.79 		N:2
Young          		Mean: 133.52 		Best: 911.79 		N:7
Arnold         		Mean: 456.11 		Best: 911.79 		N:2
Washington     		Mean: 78.72 		Best: 911.79 		N:12
Donovan        		Mean: 304.77 		Best: 911.79 		N:3
Hansen         		Mean: 116.55 		Best: 911.79 		N:8
Simpson        		Mean: 464.82 		Best: 911.79 		N:2
Sutherland     		Mean: 309.34 		Best: 911.79 		N:3
Mcquaid        		Mean: 232.54 		Best: 911.79 		N:4
Bench          		Mean: 461.49 		Best: 911.79 		N:2
Rodriguez      		Mean: 232.28 		Best: 911.79 		N:4
Bryant         		Mean: 305.82 		Best: 911.79 		N:3
Shepherd       		Mean: 458.99 		Best: 911.79 		N:2
James          		Mean: 461.43 		Best: 911.79 		N:2
Ferrara        		Mean: 464.57 		Best: 911.79 		N:2
Gerrity        		Mean: 307.9 		Best: 911.79 		N:3
Gomez          		Mean: 304.28 		Best: 911.79 		N:3
Culp           		Mean: 154.73 		Best: 907.18 		N:6
Heiliger       		Mean: 452.94 		Best: 905.88 		N:2
Fenton         		Mean: 185.59 		Best: 911.79 		N:5
Sebald         		Mean: 228.49 		Best: 905.08 		N:4
Chauvin        		Mean: 303.77 		Best: 905.08 		N:3

########## REPORT GEN: 3 ##########
SPECIES: 
Morrison       		Mean: 231.07 		Best: 911.79 		N:4
Estes          		Mean: 231.23 		Best: 911.79 		N:4
Young          		Mean: 233.71 		Best: 911.79 		N:4
Spann          		Mean: 133.22 		Best: 911.79 		N:7
Santiago       		Mean: 187.35 		Best: 911.79 		N:5
Arnold         		Mean: 306.61 		Best: 911.79 		N:3
Magana         		Mean: 232.33 		Best: 911.79 		N:4
Hansen         		Mean: 155.4 		Best: 911.79 		N:6
Morris         		Mean: 187.13 		Best: 911.79 		N:5
Sutherland     		Mean: 463.99 		Best: 911.79 		N:2
Mcquaid        		Mean: 104.47 		Best: 911.79 		N:9
Bench          		Mean: 234.11 		Best: 911.79 		N:4
Rodriguez      		Mean: 462.69 		Best: 911.79 		N:2
Bryant         		Mean: 234.03 		Best: 911.79 		N:4
Shepherd       		Mean: 457.77 		Best: 911.79 		N:2
James          		Mean: 227.95 		Best: 911.79 		N:4
Ferrara        		Mean: 462.66 		Best: 911.79 		N:2
Perkins        		Mean: 232.06 		Best: 911.79 		N:4
Gerrity        		Mean: 458.38 		Best: 911.79 		N:2
Gomez          		Mean: 185.0 		Best: 911.79 		N:5
Culp           		Mean: 464.73 		Best: 911.79 		N:2
Fenton         		Mean: 185.65 		Best: 911.79 		N:5
Heiliger       		Mean: 226.47 		Best: 905.88 		N:4
Rodriguez      		Mean: 306.98 		Best: 911.79 		N:3
Young          		Mean: 464.15 		Best: 905.84 		N:2
Campbell       		Mean: 230.38 		Best: 905.84 		N:4
Harvey         		Mean: 452.54 		Best: 905.08 		N:2
Sebald         		Mean: 453.62 		Best: 905.08 		N:2
