########## REPORT GEN: 2 ##########
SPECIES: 
Toca           		Mean: 323.97 		Best: 941.16 		N:3
Field          		Mean: 167.76 		Best: 941.16 		N:6
Layton         		Mean: 53.94 		Best: 941.16 		N:19
Zana           		Mean: 91.31 		Best: 941.16 		N:11
Nelson         		Mean: 473.94 		Best: 941.16 		N:2
Mashburn       		Mean: 141.77 		Best: 941.16 		N:7
Hernandez      		Mean: 242.84 		Best: 941.16 		N:4
Lockridge      		Mean: 164.84 		Best: 941.16 		N:6
Day            		Mean: 242.35 		Best: 941.16 		N:4
Atkins         		Mean: 461.92 		Best: 923.85 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Toca           		Mean: 127.02 		Best: 941.16 		N:8
Savage         		Mean: 478.34 		Best: 941.16 		N:2
Field          		Mean: 127.28 		Best: 941.16 		N:8
Layton         		Mean: 167.65 		Best: 941.16 		N:6
Zana           		Mean: 128.28 		Best: 941.16 		N:8
Nelson         		Mean: 237.83 		Best: 941.16 		N:4
Mashburn       		Mean: 475.49 		Best: 941.16 		N:2
Hernandez      		Mean: 201.7 		Best: 941.16 		N:5
Cheek          		Mean: 470.58 		Best: 941.16 		N:2
Lockridge      		Mean: 246.79 		Best: 941.16 		N:4
Gabbert        		Mean: 237.14 		Best: 941.16 		N:4
Atkins         		Mean: 230.96 		Best: 923.85 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Savage         		Mean: 189.67 		Best: 941.16 		N:5
Gabbert        		Mean: 157.53 		Best: 941.16 		N:6
Toca           		Mean: 249.8 		Best: 941.16 		N:4
Field          		Mean: 141.03 		Best: 941.16 		N:7
Layton         		Mean: 484.64 		Best: 941.16 		N:2
Zana           		Mean: 330.31 		Best: 941.16 		N:3
Nelson         		Mean: 135.83 		Best: 941.16 		N:7
Hernandez      		Mean: 240.78 		Best: 941.16 		N:4
Cheek          		Mean: 241.88 		Best: 941.16 		N:4
Lockridge      		Mean: 195.48 		Best: 941.16 		N:5
Atkins         		Mean: 134.23 		Best: 925.7 		N:7
Mashburn       		Mean: 242.54 		Best: 941.16 		N:4
Mercado        		Mean: 317.41 		Best: 929.42 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
