########## REPORT GEN: 2 ##########
SPECIES: 
Kuo            		Mean: 34.65 		Best: 938.91 		N:28
Snyder         		Mean: 28.15 		Best: 938.56 		N:35
Loynes         		Mean: 119.96 		Best: 922.5 		N:8
Whitaker       		Mean: 461.38 		Best: 915.41 		N:2
Marsh          		Mean: 39.04 		Best: 922.5 		N:25

########## REPORT GEN: 3 ##########
SPECIES: 
Marsh          		Mean: 82.09 		Best: 938.91 		N:12
Thomas         		Mean: 160.68 		Best: 938.56 		N:6
Kuo            		Mean: 162.28 		Best: 937.61 		N:6
Loiacono       		Mean: 138.08 		Best: 925.88 		N:7
Lawrence       		Mean: 239.18 		Best: 918.08 		N:4
Loynes         		Mean: 88.71 		Best: 922.5 		N:11
Whitaker       		Mean: 316.0 		Best: 915.41 		N:3
Olson          		Mean: 470.43 		Best: 912.9 		N:2
Snyder         		Mean: 192.58 		Best: 915.41 		N:5

########## REPORT GEN: 4 ##########
SPECIES: 
Olson          		Mean: 79.68 		Best: 938.91 		N:12
Kuo            		Mean: 192.22 		Best: 938.56 		N:5
Lawrence       		Mean: 135.67 		Best: 938.56 		N:7
Thomas         		Mean: 96.47 		Best: 937.61 		N:10
Snyder         		Mean: 190.1 		Best: 937.61 		N:5
Whitaker       		Mean: 119.71 		Best: 923.28 		N:8
Loynes         		Mean: 119.48 		Best: 918.08 		N:8
Marsh          		Mean: 313.39 		Best: 915.18 		N:3
Loiacono       		Mean: 236.04 		Best: 912.9 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
Loynes         		Mean: 119.17 		Best: 938.91 		N:8
Olson          		Mean: 105.43 		Best: 938.91 		N:9
Loiacono       		Mean: 190.62 		Best: 938.56 		N:5
Lawrence       		Mean: 120.41 		Best: 938.56 		N:8
Thomas         		Mean: 119.3 		Best: 937.61 		N:8
Snyder         		Mean: 106.08 		Best: 937.61 		N:9
Whitaker       		Mean: 105.73 		Best: 918.08 		N:9
Kuo            		Mean: 118.41 		Best: 912.9 		N:8
Marsh          		Mean: 134.4 		Best: 912.9 		N:7

