########## REPORT GEN: 2 ##########
SPECIES: 
Hunt           		Mean: 138.84 		Best: 929.49 		N:7
Clark          		Mean: 64.84 		Best: 929.49 		N:15
Walker         		Mean: 140.43 		Best: 929.49 		N:7
Tim            		Mean: 235.91 		Best: 926.14 		N:4
Jara           		Mean: 240.57 		Best: 926.14 		N:4
Corry          		Mean: 98.06 		Best: 929.49 		N:10
Shriver        		Mean: 459.1 		Best: 918.2 		N:2
Gittens        		Mean: 241.31 		Best: 919.45 		N:4
Strohman       		Mean: 160.3 		Best: 926.14 		N:6
Starr          		Mean: 316.59 		Best: 918.2 		N:3

########## REPORT GEN: 3 ##########
SPECIES: 
Yuro           		Mean: 191.33 		Best: 941.14 		N:5
Gittens        		Mean: 192.13 		Best: 929.49 		N:5
Tim            		Mean: 319.78 		Best: 929.49 		N:3
Corry          		Mean: 98.44 		Best: 929.49 		N:10
Clark          		Mean: 120.67 		Best: 926.14 		N:8
Strohman       		Mean: 108.03 		Best: 926.14 		N:9
Starr          		Mean: 473.06 		Best: 926.14 		N:2
Hunt           		Mean: 121.11 		Best: 926.14 		N:8
Walker         		Mean: 193.0 		Best: 918.2 		N:5
Shriver        		Mean: 470.26 		Best: 918.2 		N:2

########## REPORT GEN: 4 ##########
SPECIES: 
Yuro           		Mean: 241.1 		Best: 941.14 		N:4
Tim            		Mean: 189.77 		Best: 929.49 		N:5
Clark          		Mean: 239.74 		Best: 929.49 		N:4
Strohman       		Mean: 159.93 		Best: 929.49 		N:6
Walker         		Mean: 240.93 		Best: 927.88 		N:4
Shriver        		Mean: 240.96 		Best: 927.88 		N:4
Corry          		Mean: 160.18 		Best: 926.14 		N:6
Hunt           		Mean: 473.41 		Best: 926.14 		N:2
Gittens        		Mean: 191.31 		Best: 919.45 		N:5
Starr          		Mean: 320.88 		Best: 918.2 		N:3
Jara           		Mean: 159.42 		Best: 919.45 		N:6

########## REPORT GEN: 5 ##########
SPECIES: 
Corry          		Mean: 321.46 		Best: 941.14 		N:3
Starr          		Mean: 191.23 		Best: 929.49 		N:5
Yuro           		Mean: 87.44 		Best: 929.49 		N:11
