########## REPORT GEN: 2 ##########
SPECIES: 
Jones          		Mean: 62.76 		Best: 950.66 		N:16
Hill           		Mean: 470.93 		Best: 933.51 		N:2
Cutts          		Mean: 72.73 		Best: 939.89 		N:14
Ratcliff       		Mean: 66.88 		Best: 931.27 		N:14
Hopper         		Mean: 56.04 		Best: 939.89 		N:18
Schott         		Mean: 133.5 		Best: 931.27 		N:7
Jackson        		Mean: 186.25 		Best: 931.27 		N:5
Baylor         		Mean: 67.21 		Best: 934.1 		N:15
Ledesma        		Mean: 317.37 		Best: 931.27 		N:3
Payne          		Mean: 323.01 		Best: 922.47 		N:3
Fox            		Mean: 330.11 		Best: 934.1 		N:3

########## REPORT GEN: 3 ##########
SPECIES: 
Dunlap         		Mean: 248.42 		Best: 950.66 		N:4
Ramos          		Mean: 328.83 		Best: 935.58 		N:3
Hill           		Mean: 192.08 		Best: 934.1 		N:5
Hopper         		Mean: 195.96 		Best: 934.1 		N:5
Cutts          		Mean: 124.8 		Best: 933.51 		N:8
Fox            		Mean: 99.27 		Best: 934.1 		N:10
Mccartney      		Mean: 124.09 		Best: 934.1 		N:8
Jones          		Mean: 141.02 		Best: 931.27 		N:7
Ratcliff       		Mean: 85.92 		Best: 931.27 		N:11
Schott         		Mean: 80.61 		Best: 931.27 		N:12
Jackson        		Mean: 137.29 		Best: 939.89 		N:7
Baylor         		Mean: 162.84 		Best: 931.27 		N:6
Payne          		Mean: 247.04 		Best: 931.27 		N:4
Kimball        		Mean: 123.23 		Best: 931.27 		N:8

########## REPORT GEN: 4 ##########
SPECIES: 
Mccartney      		Mean: 98.23 		Best: 950.66 		N:10
Ramos          		Mean: 142.19 		Best: 942.62 		N:7
Dunlap         		Mean: 99.48 		Best: 933.51 		N:10
Jones          		Mean: 198.74 		Best: 933.51 		N:5
Kimball        		Mean: 242.95 		Best: 933.51 		N:4
Meyers         		Mean: 318.29 		Best: 933.51 		N:3
Hill           		Mean: 475.24 		Best: 931.27 		N:2
Hopper         		Mean: 165.64 		Best: 935.58 		N:6
Fox            		Mean: 123.6 		Best: 934.1 		N:8
Ratcliff       		Mean: 156.36 		Best: 931.27 		N:6
Jackson        		Mean: 162.3 		Best: 931.27 		N:6
Baylor         		Mean: 326.56 		Best: 935.58 		N:3
Ledesma        		Mean: 194.76 		Best: 939.89 		N:5
Payne          		Mean: 109.58 		Best: 931.73 		N:9
Copeland       		Mean: 479.19 		Best: 931.27 		N:2
Jackson        		Mean: 478.73 		Best: 931.27 		N:2
Fairbanks      		Mean: 194.16 		Best: 931.27 		N:5
Schott         		Mean: 160.78 		Best: 931.27 		N:6

########## REPORT GEN: 5 ##########
SPECIES: 
Ledesma        		Mean: 108.7 		Best: 950.66 		N:9
Kimball        		Mean: 88.95 		Best: 942.62 		N:11
Baylor         		Mean: 468.76 		Best: 934.1 		N:2
Dunlap         		Mean: 191.94 		Best: 933.84 		N:5
Ramos          		Mean: 138.85 		Best: 933.51 		N:7
Meyers         		Mean: 476.42 		Best: 933.51 		N:2
Fairbanks      		Mean: 320.41 		Best: 933.51 		N:3
Jones          		Mean: 139.92 		Best: 935.58 		N:7
Hill           		Mean: 122.65 		Best: 932.39 		N:8
Hopper         		Mean: 88.83 		Best: 935.46 		N:11
Fox            		Mean: 244.37 		Best: 931.27 		N:4
Ratcliff       		Mean: 240.26 		Best: 931.27 		N:4
Jackson        		Mean: 162.47 		Best: 931.27 		N:6
Payne          		Mean: 195.34 		Best: 931.27 		N:5
Copeland       		Mean: 239.63 		Best: 931.27 		N:4
Jackson        		Mean: 244.57 		Best: 933.51 		N:4
Schott         		Mean: 240.04 		Best: 931.27 		N:4
Cutts          		Mean: 461.23 		Best: 922.47 		N:2

########## REPORT GEN: 6 ##########
SPECIES: 
Schott         		Mean: 139.66 		Best: 950.66 		N:7
Jackson        		Mean: 320.94 		Best: 942.62 		N:3
Hopper         		Mean: 160.5 		Best: 934.1 		N:6
Ledesma        		Mean: 194.25 		Best: 933.84 		N:5
Baylor         		Mean: 122.99 		Best: 933.84 		N:8
Ramos          		Mean: 88.39 		Best: 933.51 		N:11
Fairbanks      		Mean: 139.35 		Best: 934.1 		N:7
Copeland       		Mean: 239.58 		Best: 933.51 		N:4
Mccartney      		Mean: 240.24 		Best: 934.1 		N:4
Kimball        		Mean: 161.18 		Best: 934.1 		N:6
Dunlap         		Mean: 190.77 		Best: 934.61 		N:5
Fox            		Mean: 242.38 		Best: 931.27 		N:4
Ratcliff       		Mean: 191.34 		Best: 931.27 		N:5
Cutts          		Mean: 138.02 		Best: 931.27 		N:7
Gallardo       		Mean: 316.76 		Best: 931.27 		N:3
Payne          		Mean: 241.23 		Best: 931.27 		N:4
Meyers         		Mean: 469.22 		Best: 926.09 		N:2
Hill           		Mean: 137.69 		Best: 927.26 		N:7

########## REPORT GEN: 7 ##########
SPECIES: 
Fox            		Mean: 161.38 		Best: 950.66 		N:6
Copeland       		Mean: 120.36 		Best: 942.62 		N:8
Gallardo       		Mean: 192.55 		Best: 942.62 		N:5
Baylor         		Mean: 237.17 		Best: 934.1 		N:4
Schott         		Mean: 192.84 		Best: 933.51 		N:5
Jackson        		Mean: 191.2 		Best: 933.51 		N:5
Payne          		Mean: 193.21 		Best: 934.1 		N:5
Jackson        		Mean: 316.85 		Best: 931.27 		N:3
Hopper         		Mean: 158.88 		Best: 931.27 		N:6
Ramos          		Mean: 192.35 		Best: 931.27 		N:5
Dunlap         		Mean: 239.69 		Best: 931.27 		N:4
Ratcliff       		Mean: 193.05 		Best: 931.27 		N:5
Cutts          		Mean: 136.88 		Best: 931.27 		N:7
Hill           		Mean: 137.28 		Best: 931.27 		N:7
Ledesma        		Mean: 137.43 		Best: 933.84 		N:7
Mccartney      		Mean: 190.95 		Best: 933.51 		N:5
Jones          		Mean: 193.68 		Best: 933.51 		N:5
Meyers         		Mean: 237.96 		Best: 930.09 		N:4
Kimball        		Mean: 313.49 		Best: 918.62 		N:3

########## REPORT GEN: 8 ##########
SPECIES: 
Fox            		Mean: 191.41 		Best: 950.66 		N:5
Cutts          		Mean: 192.34 		Best: 950.66 		N:5
Jackson        		Mean: 136.7 		Best: 942.62 		N:7
Dunlap         		Mean: 136.31 		Best: 942.62 		N:7
Baylor         		Mean: 159.92 		Best: 941.47 		N:6
Kimball        		Mean: 136.82 		Best: 939.89 		N:7
Jackson        		Mean: 160.65 		Best: 934.1 		N:6
Payne          		Mean: 119.89 		Best: 933.51 		N:8
Jones          		Mean: 190.67 		Best: 932.44 		N:5
Copeland       		Mean: 158.4 		Best: 931.27 		N:6
Fairbanks      		Mean: 320.71 		Best: 934.1 		N:3
Schott         		Mean: 158.11 		Best: 931.27 		N:6
Gallardo       		Mean: 118.61 		Best: 931.27 		N:8
Ramos          		Mean: 237.82 		Best: 930.09 		N:4
Hill           		Mean: 189.83 		Best: 930.09 		N:5
Mccartney      		Mean: 160.31 		Best: 933.51 		N:6
Ledesma        		Mean: 471.35 		Best: 922.45 		N:2
Hopper         		Mean: 465.41 		Best: 911.91 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Ledesma        		Mean: 160.76 		Best: 950.66 		N:6
Cutts          		Mean: 160.26 		Best: 942.62 		N:6
Dunlap         		Mean: 190.07 		Best: 941.47 		N:5
Hill           		Mean: 241.58 		Best: 940.72 		N:4
Baylor         		Mean: 160.33 		Best: 939.89 		N:6
Fox            		Mean: 191.05 		Best: 938.47 		N:5
Schott         		Mean: 317.23 		Best: 932.44 		N:3
Hopper         		Mean: 159.72 		Best: 932.44 		N:6
Copeland       		Mean: 472.28 		Best: 931.73 		N:2
Ratcliff       		Mean: 310.76 		Best: 931.27 		N:3
Fairbanks      		Mean: 133.81 		Best: 931.27 		N:7
Meyers         		Mean: 311.66 		Best: 931.27 		N:3
Ramos          		Mean: 190.4 		Best: 931.04 		N:5
Jackson        		Mean: 134.69 		Best: 931.27 		N:7
Payne          		Mean: 158.26 		Best: 930.09 		N:6
Jones          		Mean: 191.19 		Best: 932.44 		N:5
Gallardo       		Mean: 135.63 		Best: 932.44 		N:7
Jackson        		Mean: 134.86 		Best: 927.26 		N:7
Mccartney      		Mean: 156.61 		Best: 925.83 		N:6

########## REPORT GEN: 10 ##########
SPECIES: 
Ramos          		Mean: 105.53 		Best: 951.07 		N:9
Jones          		Mean: 158.22 		Best: 950.66 		N:6
Kimball        		Mean: 238.51 		Best: 950.66 		N:4
Payne          		Mean: 188.19 		Best: 943.77 		N:5
Schott         		Mean: 240.28 		Best: 942.62 		N:4
Ratcliff       		Mean: 136.07 		Best: 940.72 		N:7
Gallardo       		Mean: 476.22 		Best: 939.89 		N:2
Fairbanks      		Mean: 189.22 		Best: 938.47 		N:5
Jackson        		Mean: 190.94 		Best: 938.47 		N:5
Jackson        		Mean: 239.67 		Best: 941.47 		N:4
Baylor         		Mean: 134.4 		Best: 934.1 		N:7
Dunlap         		Mean: 134.25 		Best: 933.51 		N:7
Fox            		Mean: 190.23 		Best: 933.51 		N:5
Meyers         		Mean: 238.16 		Best: 933.51 		N:4
Hill           		Mean: 185.26 		Best: 932.44 		N:5
Ledesma        		Mean: 188.97 		Best: 931.27 		N:5
Cutts          		Mean: 316.94 		Best: 931.27 		N:3
Hopper         		Mean: 118.63 		Best: 931.27 		N:8
Mccartney      		Mean: 316.34 		Best: 930.09 		N:3
Copeland       		Mean: 310.5 		Best: 922.47 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Gallardo       		Mean: 135.98 		Best: 953.24 		N:7
Mccartney      		Mean: 190.08 		Best: 951.08 		N:5
Jones          		Mean: 106.15 		Best: 951.07 		N:9
Ramos          		Mean: 237.62 		Best: 950.66 		N:4
Schott         		Mean: 321.86 		Best: 950.66 		N:3
Fairbanks      		Mean: 313.93 		Best: 941.47 		N:3
Jackson        		Mean: 191.82 		Best: 940.72 		N:5
Hopper         		Mean: 158.16 		Best: 939.89 		N:6
Copeland       		Mean: 191.75 		Best: 942.62 		N:5
Dunlap         		Mean: 118.24 		Best: 938.47 		N:8
Fox            		Mean: 156.75 		Best: 938.47 		N:6
Ledesma        		Mean: 118.47 		Best: 938.47 		N:8
