########## REPORT GEN: 2 ##########
SPECIES: 
Lindsey        		Mean: 182.53 		Best: 361.77 		N:2
Serasio        		Mean: 13.93 		Best: 361.77 		N:18
Riley          		Mean: 28.43 		Best: 361.77 		N:7
Harris         		Mean: 172.04 		Best: 337.88 		N:2
Pierce         		Mean: 122.19 		Best: 324.98 		N:2
Lawton         		Mean: 27.15 		Best: 317.86 		N:9
Snedeker       		Mean: 31.32 		Best: 315.86 		N:8
Gurke          		Mean: 22.96 		Best: 315.86 		N:11
Mcnally        		Mean: 80.05 		Best: 315.86 		N:4
Hubbard        		Mean: 45.03 		Best: 315.86 		N:5
Collins        		Mean: 137.29 		Best: 274.59 		N:2
Herman         		Mean: 31.31 		Best: 243.75 		N:5
Belles         		Mean: 64.68 		Best: 226.0 		N:3
Orahood        		Mean: 63.14 		Best: 126.27 		N:2
Baughman       		Mean: 63.14 		Best: 126.27 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Lindsey        		Mean: 91.22 		Best: 361.77 		N:4
Serasio        		Mean: 36.0 		Best: 361.77 		N:7
Snedeker       		Mean: 35.57 		Best: 361.77 		N:6
Gurke          		Mean: 40.64 		Best: 361.77 		N:6
Harris         		Mean: 85.56 		Best: 337.88 		N:4
Pierce         		Mean: 162.49 		Best: 324.98 		N:2
Lawton         		Mean: 46.84 		Best: 317.86 		N:5
Riley          		Mean: 86.66 		Best: 315.86 		N:3
Mcnally        		Mean: 53.15 		Best: 315.86 		N:6
Roe            		Mean: 158.83 		Best: 315.86 		N:2
Herman         		Mean: 75.38 		Best: 291.08 		N:3
Belles         		Mean: 29.36 		Best: 291.08 		N:6
Collins        		Mean: 68.94 		Best: 274.59 		N:4
Rivera         		Mean: 87.17 		Best: 196.61 		N:2
Orahood        		Mean: 31.84 		Best: 126.27 		N:4
Baughman       		Mean: 31.84 		Best: 126.27 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Lindsey        		Mean: 46.18 		Best: 374.69 		N:8
Riley          		Mean: 86.72 		Best: 361.77 		N:3
Herman         		Mean: 38.05 		Best: 361.77 		N:6
Belles         		Mean: 172.61 		Best: 361.77 		N:2
Hughes         		Mean: 29.33 		Best: 361.77 		N:7
Harris         		Mean: 54.45 		Best: 337.88 		N:6
Collins        		Mean: 44.7 		Best: 337.88 		N:7
Baughman       		Mean: 59.46 		Best: 337.88 		N:4
Landry         		Mean: 164.01 		Best: 324.98 		N:2
Pierce         		Mean: 81.82 		Best: 324.98 		N:4
Lawton         		Mean: 53.84 		Best: 317.86 		N:4
Mcnally        		Mean: 107.05 		Best: 315.86 		N:3
Roe            		Mean: 68.29 		Best: 315.86 		N:4
Rivera         		Mean: 31.51 		Best: 315.86 		N:6
Snedeker       		Mean: 27.14 		Best: 291.08 		N:7
Gurke          		Mean: 130.35 		Best: 291.08 		N:2
Orahood        		Mean: 42.44 		Best: 126.27 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Bowman         		Mean: 74.38 		Best: 374.69 		N:5
Herman         		Mean: 29.88 		Best: 361.77 		N:8
Belles         		Mean: 73.88 		Best: 361.77 		N:4
Lawton         		Mean: 50.03 		Best: 361.77 		N:4
Snedeker       		Mean: 128.94 		Best: 361.77 		N:2
Harris         		Mean: 69.17 		Best: 337.88 		N:5
Landry         		Mean: 65.89 		Best: 324.98 		N:5
Pierce         		Mean: 31.43 		Best: 324.98 		N:10
Hughes         		Mean: 45.24 		Best: 317.86 		N:5
Mcnally        		Mean: 64.03 		Best: 315.86 		N:5
Roe            		Mean: 161.6 		Best: 315.86 		N:2
Rivera         		Mean: 53.09 		Best: 315.86 		N:5
Collins        		Mean: 53.54 		Best: 296.71 		N:5
Gurke          		Mean: 124.76 		Best: 291.08 		N:2
Baughman       		Mean: 23.37 		Best: 211.02 		N:7
Riley          		Mean: 22.55 		Best: 146.17 		N:5
Orahood        		Mean: 31.75 		Best: 126.27 		N:4

########## REPORT GEN: 6 ##########
SPECIES: 
Lindsey        		Mean: 73.97 		Best: 374.69 		N:5
Roe            		Mean: 33.73 		Best: 374.69 		N:9
Bowman         		Mean: 92.04 		Best: 361.77 		N:4
Belles         		Mean: 28.91 		Best: 361.77 		N:6
Lawton         		Mean: 57.76 		Best: 361.77 		N:4
Snedeker       		Mean: 55.14 		Best: 361.77 		N:4
Hughes         		Mean: 34.27 		Best: 361.77 		N:6
Riley          		Mean: 43.88 		Best: 361.77 		N:5
Harris         		Mean: 57.58 		Best: 337.88 		N:6
Landry         		Mean: 54.41 		Best: 324.98 		N:6
Pierce         		Mean: 162.49 		Best: 324.98 		N:2
Rivera         		Mean: 65.91 		Best: 324.98 		N:5
Mcnally        		Mean: 79.96 		Best: 315.86 		N:4
Collins        		Mean: 52.83 		Best: 296.71 		N:5
Orahood        		Mean: 24.64 		Best: 291.08 		N:8
Herman         		Mean: 118.44 		Best: 258.06 		N:2
Baughman       		Mean: 87.2 		Best: 211.02 		N:2

########## REPORT GEN: 7 ##########
SPECIES: 
Lindsey        		Mean: 37.72 		Best: 387.13 		N:10
Bowman         		Mean: 126.2 		Best: 387.13 		N:3
Snedeker       		Mean: 47.12 		Best: 361.77 		N:6
Riley          		Mean: 42.04 		Best: 361.77 		N:7
Pierce         		Mean: 32.62 		Best: 361.77 		N:9
Rivera         		Mean: 34.4 		Best: 361.77 		N:10
Mcnally        		Mean: 30.96 		Best: 361.77 		N:10
Orahood        		Mean: 106.75 		Best: 361.77 		N:3
Herman         		Mean: 30.46 		Best: 361.77 		N:6
Harris         		Mean: 115.17 		Best: 337.88 		N:3
Gurke          		Mean: 81.12 		Best: 337.88 		N:4
