########## REPORT GEN: 2 ##########
SPECIES: 
Weaver         		Mean: 0.21 		Best: 9.6 		Nº:26
Houston        		Mean: 0.12 		Best: 9.6 		Nº:15
Battle         		Mean: 4.8  		Best: 9.6 		Nº:2
Wilson         		Mean: 2.26 		Best: 9.6 		Nº:4
Dean           		Mean: 4.34 		Best: 9.6 		Nº:2
Gonzales       		Mean: 4.58 		Best: 9.6 		Nº:2
Larimore       		Mean: 0.22 		Best: 9.6 		Nº:9
Ferreira       		Mean: 2.22 		Best: 8.71 		Nº:2
Nott           		Mean: 1.54 		Best: 8.71 		Nº:4
Lenk           		Mean: 2.18 		Best: 8.71 		Nº:2
Lodge          		Mean: 1.04 		Best: 8.71 		Nº:4
Hadlock        		Mean: 4.12 		Best: 8.71 		Nº:2
Page           		Mean: 2.18 		Best: 8.71 		Nº:2
Freeland       		Mean: 0.98 		Best: 7.77 		Nº:4
Jones          		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 3 ##########
SPECIES: 
Weaver         		Mean: 0.57 		Best: 9.6 		Nº:13
Houston        		Mean: 0.36 		Best: 9.6 		Nº:7
Battle         		Mean: 2.24 		Best: 9.6 		Nº:4
Wilson         		Mean: 1.25 		Best: 9.6 		Nº:6
Dean           		Mean: 1.57 		Best: 9.6 		Nº:4
May            		Mean: 4.82 		Best: 9.6 		Nº:2
Larimore       		Mean: 0.6  		Best: 9.6 		Nº:4
Ferreira       		Mean: 0.61 		Best: 9.6 		Nº:4
Lenk           		Mean: 1.82 		Best: 9.6 		Nº:4
Lodge          		Mean: 3.13 		Best: 9.6 		Nº:3
Hadlock        		Mean: 2.24 		Best: 9.6 		Nº:4
Page           		Mean: 1.63 		Best: 9.6 		Nº:4
Moreno         		Mean: 4.8  		Best: 9.6 		Nº:2
Freeland       		Mean: 2.41 		Best: 9.6 		Nº:2
Gonzales       		Mean: 1.58 		Best: 8.71 		Nº:4
Jones          		Mean: 0.98 		Best: 8.71 		Nº:3
Nott           		Mean: 1.46 		Best: 7.77 		Nº:4

########## REPORT GEN: 4 ##########
SPECIES: 
Weaver         		Mean: 0.75 		Best: 9.6 		Nº:6
Battle         		Mean: 0.79 		Best: 9.6 		Nº:8
Wilson         		Mean: 1.76 		Best: 9.6 		Nº:5
Dean           		Mean: 1.3  		Best: 9.6 		Nº:7
May            		Mean: 2.23 		Best: 9.6 		Nº:4
Lenk           		Mean: 0.7  		Best: 9.6 		Nº:8
Lodge          		Mean: 1.27 		Best: 9.6 		Nº:6
Hadlock        		Mean: 0.55 		Best: 9.6 		Nº:8
Page           		Mean: 0.93 		Best: 9.6 		Nº:7
Moreno         		Mean: 1.09 		Best: 9.6 		Nº:4
Gonzales       		Mean: 0.89 		Best: 9.6 		Nº:7
Nott           		Mean: 1.24 		Best: 9.6 		Nº:6
Larimore       		Mean: 2.19 		Best: 8.71 		Nº:2
Freeland       		Mean: 0.7  		Best: 8.71 		Nº:5
Jones          		Mean: 1.1  		Best: 8.71 		Nº:4
Houston        		Mean: 0.87 		Best: 7.77 		Nº:3
Ferreira       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 5 ##########
SPECIES: 
Battle         		Mean: 1.16 		Best: 9.6 		Nº:6
Wilson         		Mean: 0.52 		Best: 9.6 		Nº:10
Dean           		Mean: 0.64 		Best: 9.6 		Nº:10
May            		Mean: 0.8  		Best: 9.6 		Nº:8
Lodge          		Mean: 0.76 		Best: 9.6 		Nº:10
Page           		Mean: 0.82 		Best: 9.6 		Nº:8
Moreno         		Mean: 0.67 		Best: 9.6 		Nº:8
Nott           		Mean: 0.42 		Best: 9.6 		Nº:10
Larimore       		Mean: 1.81 		Best: 9.6 		Nº:4
Houston        		Mean: 0.51 		Best: 9.6 		Nº:6
Weaver         		Mean: 0.24 		Best: 8.71 		Nº:6
Hadlock        		Mean: 1.09 		Best: 8.71 		Nº:4
Freeland       		Mean: 1.65 		Best: 8.71 		Nº:5
Jones          		Mean: 0.28 		Best: 8.71 		Nº:8
Lenk           		Mean: 0.31 		Best: 7.77 		Nº:5
Gonzales       		Mean: 0.32 		Best: 7.77 		Nº:7

########## REPORT GEN: 6 ##########
SPECIES: 
Battle         		Mean: 0.61 		Best: 9.6 		Nº:12
Wilson         		Mean: 1.24 		Best: 9.6 		Nº:6
May            		Mean: 0.53 		Best: 9.6 		Nº:10
Lodge          		Mean: 0.35 		Best: 9.6 		Nº:9
Page           		Mean: 0.62 		Best: 9.6 		Nº:10
Moreno         		Mean: 0.56 		Best: 9.6 		Nº:8
Nott           		Mean: 1.7  		Best: 9.6 		Nº:5
