########## REPORT GEN: 2 ##########
SPECIES: 
Brandt         		Mean: 311.82 		Best: 899.03 		N:3
Oliver         		Mean: 236.54 		Best: 898.4 		N:4
Darden         		Mean: 135.22 		Best: 898.4 		N:7
Grant          		Mean: 158.74 		Best: 898.31 		N:6
Mueller        		Mean: 236.25 		Best: 898.4 		N:4
Dobson         		Mean: 95.68 		Best: 898.4 		N:10
Joseph         		Mean: 301.88 		Best: 898.1 		N:3
George         		Mean: 233.49 		Best: 898.1 		N:4
Norman         		Mean: 96.08 		Best: 898.31 		N:10
Klaus          		Mean: 308.83 		Best: 897.51 		N:3
Mcgown         		Mean: 190.26 		Best: 898.1 		N:5

########## REPORT GEN: 3 ##########
SPECIES: 
Markley        		Mean: 310.78 		Best: 899.03 		N:3
Brandt         		Mean: 235.01 		Best: 898.4 		N:4
George         		Mean: 156.99 		Best: 898.4 		N:6
Mueller        		Mean: 314.49 		Best: 898.1 		N:3
Dobson         		Mean: 135.86 		Best: 898.1 		N:7
Norman         		Mean: 158.09 		Best: 898.1 		N:6
Joseph         		Mean: 229.91 		Best: 898.1 		N:4
Oliver         		Mean: 157.65 		Best: 899.03 		N:6
Darden         		Mean: 190.52 		Best: 898.31 		N:5
Darden         		Mean: 311.01 		Best: 898.1 		N:3
Klaus          		Mean: 313.2 		Best: 897.52 		N:3
Grant          		Mean: 156.2 		Best: 898.1 		N:6

########## REPORT GEN: 4 ##########
SPECIES: 
Klaus          		Mean: 312.75 		Best: 899.03 		N:3
Brandt         		Mean: 188.93 		Best: 898.3 		N:5
Markley        		Mean: 105.59 		Best: 898.28 		N:9
Mcgown         		Mean: 236.11 		Best: 898.1 		N:4
Joseph         		Mean: 302.38 		Best: 898.1 		N:3
Oliver         		Mean: 188.11 		Best: 898.1 		N:5
Darden         		Mean: 187.22 		Best: 898.1 		N:5
Darden         		Mean: 309.17 		Best: 898.1 		N:3
Grant          		Mean: 187.37 		Best: 898.31 		N:5
Mueller        		Mean: 134.85 		Best: 898.1 		N:7
Dobson         		Mean: 234.81 		Best: 898.31 		N:4
George         		Mean: 234.56 		Best: 898.4 		N:4
Norman         		Mean: 189.06 		Best: 898.31 		N:5

########## REPORT GEN: 5 ##########
SPECIES: 
Grant          		Mean: 72.38 		Best: 902.11 		N:13
Oliver         		Mean: 116.55 		Best: 899.03 		N:8
Klaus          		Mean: 232.71 		Best: 899.64 		N:4
Brandt         		Mean: 116.65 		Best: 899.03 		N:8
Markley        		Mean: 156.84 		Best: 898.3 		N:6
Mcgown         		Mean: 305.06 		Best: 898.1 		N:3
Joseph         		Mean: 84.62 		Best: 898.1 		N:11
Darden         		Mean: 104.43 		Best: 898.1 		N:9
Mueller        		Mean: 452.89 		Best: 898.1 		N:2
George         		Mean: 465.81 		Best: 898.1 		N:2
Norman         		Mean: 232.09 		Best: 898.1 		N:4
Dobson         		Mean: 184.99 		Best: 898.1 		N:5
Darden         		Mean: 307.25 		Best: 897.51 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
