########## REPORT GEN: 2 ##########
SPECIES: 
Beck           		Mean: 28.44 		Best: 642.87 		N:21
Holder         		Mean: 34.63 		Best: 638.11 		N:16
Simmons        		Mean: 44.22 		Best: 626.67 		N:13
Arnold         		Mean: 305.56 		Best: 607.49 		N:2
Madina         		Mean: 276.51 		Best: 569.89 		N:2
Pointer        		Mean: 183.9 		Best: 549.93 		N:3
Trent          		Mean: 268.11 		Best: 536.51 		N:2
Moss           		Mean: 264.76 		Best: 529.77 		N:2
Freeman        		Mean: 107.1 		Best: 529.48 		N:5
Taylor         		Mean: 139.73 		Best: 545.29 		N:4
Ornelas        		Mean: 271.06 		Best: 529.15 		N:2
Rodriguez      		Mean: 269.1 		Best: 528.92 		N:2
Kruse          		Mean: 182.05 		Best: 529.08 		N:3
Kennedy        		Mean: 102.94 		Best: 494.76 		N:5
Tickle         		Mean: 200.83 		Best: 407.46 		N:2

########## REPORT GEN: 3 ##########
SPECIES: 
Kennedy        		Mean: 63.24 		Best: 644.24 		N:9
Madina         		Mean: 114.03 		Best: 643.45 		N:5
Tickle         		Mean: 274.93 		Best: 643.26 		N:2
Pointer        		Mean: 111.46 		Best: 638.31 		N:5
Mcmahon        		Mean: 114.44 		Best: 637.99 		N:5
Ragin          		Mean: 187.66 		Best: 637.77 		N:3
Arnold         		Mean: 156.83 		Best: 633.01 		N:4
Rodriguez      		Mean: 192.29 		Best: 626.59 		N:3
Cadogan        		Mean: 285.02 		Best: 602.97 		N:2
Simmons        		Mean: 189.99 		Best: 593.27 		N:3
Holder         		Mean: 91.15 		Best: 550.38 		N:6
Ornelas        		Mean: 109.84 		Best: 549.3 		N:5
Goldberger     		Mean: 274.19 		Best: 548.74 		N:2
Kruse          		Mean: 89.72 		Best: 536.31 		N:6
Trent          		Mean: 158.09 		Best: 535.2 		N:3
Watters        		Mean: 236.81 		Best: 529.59 		N:2
Reynolds       		Mean: 160.88 		Best: 528.88 		N:3
Moss           		Mean: 133.29 		Best: 529.05 		N:4
Mateo          		Mean: 174.47 		Best: 528.48 		N:3
Taylor         		Mean: 133.46 		Best: 528.24 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Simmons        		Mean: 63.39 		Best: 734.75 		N:8
Reynolds       		Mean: 143.2 		Best: 671.85 		N:4
Tickle         		Mean: 94.04 		Best: 669.67 		N:6
Kennedy        		Mean: 317.72 		Best: 643.75 		N:2
Holder         		Mean: 140.73 		Best: 643.45 		N:4
Watters        		Mean: 135.85 		Best: 642.95 		N:4
Pointer        		Mean: 57.24 		Best: 642.78 		N:10
Ragin          		Mean: 143.32 		Best: 642.77 		N:4
Mateo          		Mean: 95.98 		Best: 638.6 		N:6
Rodriguez      		Mean: 144.23 		Best: 625.69 		N:4
Trent          		Mean: 291.62 		Best: 617.39 		N:2
Ornelas        		Mean: 191.54 		Best: 611.21 		N:3
Madina         		Mean: 175.94 		Best: 603.96 		N:3
Mcmahon        		Mean: 112.16 		Best: 596.94 		N:5
Taylor         		Mean: 142.1 		Best: 593.08 		N:4
Freeman        		Mean: 192.73 		Best: 592.88 		N:3
Goldberger     		Mean: 109.72 		Best: 550.18 		N:5
Kruse          		Mean: 177.82 		Best: 549.29 		N:3
Cadogan        		Mean: 85.41 		Best: 548.42 		N:6
Beck           		Mean: 166.09 		Best: 529.33 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Moss           		Mean: 157.57 		Best: 818.5 		N:4
Holder         		Mean: 84.12 		Best: 733.95 		N:7
Tickle         		Mean: 116.1 		Best: 733.94 		N:5
Freeman        		Mean: 192.33 		Best: 692.29 		N:3
Beck           		Mean: 98.8 		Best: 672.05 		N:5
Mateo          		Mean: 102.24 		Best: 669.48 		N:6
Watters        		Mean: 77.01 		Best: 644.11 		N:7
Cadogan        		Mean: 63.25 		Best: 643.94 		N:8
Reynolds       		Mean: 144.82 		Best: 642.79 		N:4
Ragin          		Mean: 205.82 		Best: 638.15 		N:3
Pointer        		Mean: 117.74 		Best: 637.99 		N:5
Goldberger     		Mean: 168.09 		Best: 611.65 		N:3
Taylor         		Mean: 136.77 		Best: 597.12 		N:4
Simmons        		Mean: 67.42 		Best: 593.56 		N:8
Trent          		Mean: 153.21 		Best: 576.78 		N:3
Madina         		Mean: 64.48 		Best: 576.43 		N:8
Ornelas        		Mean: 137.5 		Best: 575.67 		N:4
Kennedy        		Mean: 97.77 		Best: 544.64 		N:5
Mcmahon        		Mean: 272.13 		Best: 542.25 		N:2
Rodriguez      		Mean: 93.79 		Best: 532.37 		N:5
Kruse          		Mean: 99.81 		Best: 528.26 		N:5

########## REPORT GEN: 6 ##########
SPECIES: 
Pointer        		Mean: 159.35 		Best: 819.38 		N:4
Taylor         		Mean: 69.04 		Best: 818.47 		N:8
Goldberger     		Mean: 88.43 		Best: 759.0 		N:7
Beck           		Mean: 124.29 		Best: 735.0 		N:5
Ragin          		Mean: 78.56 		Best: 734.0 		N:7
Trent          		Mean: 60.39 		Best: 693.21 		N:8
Madina         		Mean: 80.13 		Best: 688.7 		N:7
Holder         		Mean: 54.51 		Best: 671.67 		N:10
Ornelas        		Mean: 315.58 		Best: 644.26 		N:2
