########## REPORT GEN: 2 ##########
SPECIES: 
Mitchell       		Mean: 106.3 		Best: 911.79 		N:9
Fletcher       		Mean: 34.38 		Best: 911.79 		N:28
Larson         		Mean: 38.81 		Best: 911.79 		N:25
Roberts        		Mean: 68.83 		Best: 911.79 		N:14
Beckem         		Mean: 456.35 		Best: 911.79 		N:2
Jones          		Mean: 132.65 		Best: 911.79 		N:7
Hutson         		Mean: 227.12 		Best: 911.79 		N:4
Villamar       		Mean: 303.91 		Best: 911.79 		N:3
Lytle          		Mean: 59.75 		Best: 911.79 		N:16
Franklin       		Mean: 101.98 		Best: 901.33 		N:9

########## REPORT GEN: 3 ##########
SPECIES: 
Mitchell       		Mean: 231.88 		Best: 911.79 		N:4
Beckem         		Mean: 229.77 		Best: 911.79 		N:4
Jones          		Mean: 234.59 		Best: 911.79 		N:4
Villamar       		Mean: 132.74 		Best: 911.79 		N:7
Rose           		Mean: 187.55 		Best: 911.79 		N:5
Lynn           		Mean: 455.89 		Best: 911.79 		N:2
Lytle          		Mean: 159.41 		Best: 911.79 		N:6
Houlihan       		Mean: 234.28 		Best: 911.79 		N:4
Smith          		Mean: 457.45 		Best: 911.79 		N:2
Deremer        		Mean: 235.29 		Best: 907.08 		N:4
Grove          		Mean: 457.6 		Best: 907.08 		N:2
Larson         		Mean: 237.77 		Best: 911.79 		N:4
Davila         		Mean: 313.27 		Best: 911.79 		N:3
Fletcher       		Mean: 94.23 		Best: 905.88 		N:10
Liles          		Mean: 458.32 		Best: 905.08 		N:2
Stinger        		Mean: 305.42 		Best: 905.08 		N:3
Franklin       		Mean: 156.13 		Best: 911.79 		N:6
Hutson         		Mean: 301.5 		Best: 901.15 		N:3

########## REPORT GEN: 4 ##########
SPECIES: 
Mitchell       		Mean: 188.96 		Best: 911.79 		N:5
Covino         		Mean: 228.56 		Best: 911.79 		N:4
Jones          		Mean: 189.34 		Best: 911.79 		N:5
Villamar       		Mean: 312.82 		Best: 911.79 		N:3
Rose           		Mean: 314.71 		Best: 911.79 		N:3
Lynn           		Mean: 303.93 		Best: 911.79 		N:3
Houlihan       		Mean: 156.91 		Best: 911.79 		N:6
Spinks         		Mean: 462.84 		Best: 911.79 		N:2
Thompson       		Mean: 311.67 		Best: 911.79 		N:3
Roberts        		Mean: 232.99 		Best: 911.79 		N:4
