########## REPORT GEN: 2 ##########
SPECIES: 
Leon           		Mean: 193.2 		Best: 909.33 		N:5
Ross           		Mean: 458.19 		Best: 906.75 		N:2
Maisonet       		Mean: 462.93 		Best: 906.75 		N:2
Rehkop         		Mean: 107.29 		Best: 905.83 		N:9
Henry          		Mean: 464.48 		Best: 905.83 		N:2
Bell           		Mean: 88.02 		Best: 906.59 		N:11
Livezey        		Mean: 236.01 		Best: 905.65 		N:4
Berrios        		Mean: 310.51 		Best: 905.65 		N:3
Cassidy        		Mean: 240.5 		Best: 905.65 		N:4
Hess           		Mean: 235.87 		Best: 909.33 		N:4
Saavedra       		Mean: 309.55 		Best: 905.65 		N:3
Heminger       		Mean: 306.43 		Best: 905.65 		N:3
Sheppard       		Mean: 467.82 		Best: 905.65 		N:2
Chang          		Mean: 80.29 		Best: 905.65 		N:12
Roach          		Mean: 229.02 		Best: 906.59 		N:4

########## REPORT GEN: 3 ##########
SPECIES: 
Madrigal       		Mean: 192.12 		Best: 909.33 		N:5
Cassidy        		Mean: 160.65 		Best: 909.33 		N:6
Bell           		Mean: 314.38 		Best: 906.75 		N:3
Livezey        		Mean: 240.02 		Best: 905.9 		N:4
Heminger       		Mean: 236.85 		Best: 906.75 		N:4
Maisonet       		Mean: 106.67 		Best: 909.33 		N:9
Rehkop         		Mean: 188.76 		Best: 905.65 		N:5
Hess           		Mean: 460.06 		Best: 905.65 		N:2
Saavedra       		Mean: 315.48 		Best: 905.65 		N:3
Sheppard       		Mean: 80.66 		Best: 906.75 		N:12
Chang          		Mean: 237.51 		Best: 905.65 		N:4
Roach          		Mean: 188.7 		Best: 905.65 		N:5

########## REPORT GEN: 4 ##########
SPECIES: 
Heminger       		Mean: 311.32 		Best: 909.33 		N:3
Berrios        		Mean: 188.92 		Best: 909.21 		N:5
Bell           		Mean: 460.94 		Best: 906.75 		N:2
Chang          		Mean: 158.86 		Best: 906.75 		N:6
Livezey        		Mean: 188.57 		Best: 906.61 		N:5
Cassidy        		Mean: 188.89 		Best: 905.65 		N:5
Ross           		Mean: 190.83 		Best: 909.33 		N:5
Maisonet       		Mean: 462.26 		Best: 905.65 		N:2
White          		Mean: 316.84 		Best: 905.65 		N:3
Hess           		Mean: 310.85 		Best: 905.65 		N:3
Roach          		Mean: 189.16 		Best: 906.75 		N:5
Saavedra       		Mean: 311.94 		Best: 905.9 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
White          		Mean: 134.2 		Best: 915.87 		N:7
Cassidy        		Mean: 94.51 		Best: 910.18 		N:10
Saavedra       		Mean: 313.58 		Best: 909.33 		N:3
Ross           		Mean: 312.08 		Best: 906.75 		N:3
Berrios        		Mean: 312.51 		Best: 906.75 		N:3
Felipe         		Mean: 466.6 		Best: 906.16 		N:2
Bell           		Mean: 235.87 		Best: 909.33 		N:4
Chang          		Mean: 314.78 		Best: 905.65 		N:3
Livezey        		Mean: 186.65 		Best: 905.65 		N:5
Maisonet       		Mean: 456.75 		Best: 905.65 		N:2
Roach          		Mean: 314.07 		Best: 906.75 		N:3
Rehkop         		Mean: 234.2 		Best: 905.9 		N:4
Hess           		Mean: 311.61 		Best: 906.75 		N:3
Heminger       		Mean: 451.41 		Best: 902.82 		N:2

########## REPORT GEN: 6 ##########
SPECIES: 
Berrios        		Mean: 187.18 		Best: 915.87 		N:5
Ross           		Mean: 134.55 		Best: 910.18 		N:7
Felipe         		Mean: 234.79 		Best: 909.33 		N:4
Livezey        		Mean: 85.96 		Best: 909.33 		N:11
Bell           		Mean: 156.49 		Best: 907.76 		N:6
Chang          		Mean: 310.96 		Best: 906.61 		N:3
Maisonet       		Mean: 312.04 		Best: 906.61 		N:3
Hess           		Mean: 187.73 		Best: 906.61 		N:5
Cassidy        		Mean: 134.37 		Best: 907.2 		N:7
White          		Mean: 156.85 		Best: 905.99 		N:6
Saavedra       		Mean: 307.66 		Best: 905.65 		N:3
Rehkop         		Mean: 310.04 		Best: 905.65 		N:3
Heminger       		Mean: 155.68 		Best: 905.65 		N:6

########## REPORT GEN: 7 ##########
SPECIES: 
Livezey        		Mean: 188.49 		Best: 915.87 		N:5
Felipe         		Mean: 156.53 		Best: 910.18 		N:6
Maisonet       		Mean: 186.65 		Best: 907.76 		N:5
Ross           		Mean: 117.1 		Best: 905.65 		N:8
Saavedra       		Mean: 185.47 		Best: 905.65 		N:5
Roach          		Mean: 155.72 		Best: 906.61 		N:6
Berrios        		Mean: 232.27 		Best: 904.31 		N:4
Cassidy        		Mean: 186.97 		Best: 909.33 		N:5
Rehkop         		Mean: 232.58 		Best: 905.65 		N:4
Hess           		Mean: 310.01 		Best: 904.31 		N:3
Heminger       		Mean: 232.99 		Best: 905.65 		N:4
Bell           		Mean: 155.37 		Best: 909.33 		N:6
Chang          		Mean: 186.97 		Best: 906.61 		N:5

########## REPORT GEN: 8 ##########
SPECIES: 
Maisonet       		Mean: 465.72 		Best: 915.87 		N:2
Cassidy        		Mean: 132.86 		Best: 910.18 		N:7
Roach          		Mean: 155.22 		Best: 909.33 		N:6
Livezey        		Mean: 185.28 		Best: 906.61 		N:5
Bell           		Mean: 84.93 		Best: 906.61 		N:11
Ross           		Mean: 309.16 		Best: 905.65 		N:3
Saavedra       		Mean: 155.95 		Best: 905.65 		N:6
Berrios        		Mean: 155.24 		Best: 905.65 		N:6
Chang          		Mean: 232.3 		Best: 905.65 		N:4
Hess           		Mean: 308.72 		Best: 905.26 		N:3
Rehkop         		Mean: 185.59 		Best: 905.65 		N:5
Heminger       		Mean: 460.76 		Best: 902.89 		N:2
White          		Mean: 155.76 		Best: 905.65 		N:6

########## REPORT GEN: 9 ##########
SPECIES: 
Roach          		Mean: 186.36 		Best: 915.87 		N:5
Chang          		Mean: 186.0 		Best: 915.87 		N:5
Heminger       		Mean: 186.94 		Best: 910.18 		N:5
Livezey        		Mean: 231.3 		Best: 909.33 		N:4
Saavedra       		Mean: 232.22 		Best: 906.61 		N:4
Bell           		Mean: 307.55 		Best: 906.16 		N:3
Ross           		Mean: 103.22 		Best: 905.65 		N:9
Hess           		Mean: 229.5 		Best: 905.65 		N:4
White          		Mean: 306.91 		Best: 905.26 		N:3
Maisonet       		Mean: 154.11 		Best: 902.4 		N:6
Berrios        		Mean: 459.19 		Best: 902.4 		N:2
Cassidy        		Mean: 155.12 		Best: 906.61 		N:6

########## REPORT GEN: 10 ##########
SPECIES: 
Roach          		Mean: 154.89 		Best: 915.87 		N:6
Berrios        		Mean: 77.43 		Best: 915.87 		N:12
Rehkop         		Mean: 310.34 		Best: 915.87 		N:3
Saavedra       		Mean: 232.34 		Best: 910.18 		N:4
Maisonet       		Mean: 132.19 		Best: 909.33 		N:7
Hess           		Mean: 460.14 		Best: 906.61 		N:2
Cassidy        		Mean: 116.21 		Best: 905.65 		N:8
Heminger       		Mean: 459.97 		Best: 905.26 		N:2
Chang          		Mean: 303.7 		Best: 902.82 		N:3
Bell           		Mean: 231.03 		Best: 902.82 		N:4
Felipe         		Mean: 453.25 		Best: 902.4 		N:2
Livezey        		Mean: 306.88 		Best: 906.16 		N:3
White          		Mean: 305.88 		Best: 902.33 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Berrios        		Mean: 116.21 		Best: 915.87 		N:8
Rehkop         		Mean: 231.06 		Best: 915.87 		N:4
