########## REPORT GEN: 2 ##########
SPECIES: 
Cortez         		Mean: 2.77 		Best: 185.97 		Nº:14
Zins           		Mean: 7.46 		Best: 185.97 		Nº:14
Morrow         		Mean: 10.19 		Best: 185.97 		Nº:11
Bubrig         		Mean: 8.96 		Best: 185.97 		Nº:9
Montgomery     		Mean: 40.69 		Best: 185.97 		Nº:3
Wilson         		Mean: 88.67 		Best: 185.97 		Nº:2
Gray           		Mean: 91.82 		Best: 185.97 		Nº:2
Wright         		Mean: 35.48 		Best: 185.97 		Nº:4
Leggett        		Mean: 46.62 		Best: 185.97 		Nº:2
Franklin       		Mean: 86.2 		Best: 177.1 		Nº:2
Desrochers     		Mean: 86.45 		Best: 177.1 		Nº:2
Caines         		Mean: 86.7 		Best: 177.1 		Nº:2
Stephens       		Mean: 88.55 		Best: 177.1 		Nº:2
Carter         		Mean: 42.05 		Best: 167.72 		Nº:2
Winfield       		Mean: 41.93 		Best: 167.72 		Nº:2
Richardson     		Mean: 42.66 		Best: 167.72 		Nº:2
Whitaker       		Mean: 0.0  		Best: 0.0 		Nº:4
Huppert        		Mean: 0.0  		Best: 0.0 		Nº:4
Compton        		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 3 ##########
SPECIES: 
Cortez         		Mean: 21.94 		Best: 185.97 		Nº:7
Zins           		Mean: 14.43 		Best: 185.97 		Nº:7
Bubrig         		Mean: 11.71 		Best: 185.97 		Nº:4
Wilson         		Mean: 22.75 		Best: 185.97 		Nº:4
Gray           		Mean: 33.42 		Best: 185.97 		Nº:4
Wright         		Mean: 14.94 		Best: 185.97 		Nº:6
Leggett        		Mean: 33.84 		Best: 185.97 		Nº:4
Carter         		Mean: 33.35 		Best: 185.97 		Nº:4
Winfield       		Mean: 34.35 		Best: 185.97 		Nº:4
Richardson     		Mean: 34.56 		Best: 185.97 		Nº:4
Franklin       		Mean: 22.38 		Best: 177.1 		Nº:4
Desrochers     		Mean: 21.61 		Best: 177.1 		Nº:4
Caines         		Mean: 11.11 		Best: 177.1 		Nº:4
Stephens       		Mean: 42.75 		Best: 177.1 		Nº:4
Leland         		Mean: 45.18 		Best: 177.1 		Nº:2
Morrow         		Mean: 13.47 		Best: 167.72 		Nº:5
Montgomery     		Mean: 4.7  		Best: 167.72 		Nº:6
Whitaker       		Mean: 83.86 		Best: 167.72 		Nº:2
Huppert        		Mean: 83.86 		Best: 167.72 		Nº:2

########## REPORT GEN: 4 ##########
SPECIES: 
Zins           		Mean: 22.86 		Best: 185.97 		Nº:4
Wilson         		Mean: 14.2 		Best: 185.97 		Nº:5
Gray           		Mean: 19.59 		Best: 185.97 		Nº:8
Wright         		Mean: 20.87 		Best: 185.97 		Nº:3
Leggett        		Mean: 13.59 		Best: 185.97 		Nº:8
Winfield       		Mean: 11.08 		Best: 185.97 		Nº:8
Richardson     		Mean: 5.73 		Best: 185.97 		Nº:8
Franklin       		Mean: 21.75 		Best: 185.97 		Nº:5
Desrochers     		Mean: 28.46 		Best: 185.97 		Nº:5
Stephens       		Mean: 17.01 		Best: 185.97 		Nº:8
Whitaker       		Mean: 32.62 		Best: 185.97 		Nº:4
Huppert        		Mean: 43.66 		Best: 185.97 		Nº:4
Cortez         		Mean: 13.92 		Best: 177.1 		Nº:5
Bubrig         		Mean: 38.5 		Best: 177.1 		Nº:3
Carter         		Mean: 10.7 		Best: 177.1 		Nº:8
Caines         		Mean: 42.04 		Best: 167.72 		Nº:2
Leland         		Mean: 31.45 		Best: 167.72 		Nº:4
Morrow         		Mean: 18.74 		Best: 167.72 		Nº:3
Montgomery     		Mean: 18.8 		Best: 167.72 		Nº:3

########## REPORT GEN: 5 ##########
SPECIES: 
Zins           		Mean: 28.86 		Best: 185.97 		Nº:5
Gray           		Mean: 33.8 		Best: 185.97 		Nº:4
Wright         		Mean: 7.53 		Best: 185.97 		Nº:5
Richardson     		Mean: 43.69 		Best: 185.97 		Nº:4
Desrochers     		Mean: 14.89 		Best: 185.97 		Nº:7
Stephens       		Mean: 34.65 		Best: 185.97 		Nº:4
Whitaker       		Mean: 19.95 		Best: 185.97 		Nº:8
Huppert        		Mean: 22.12 		Best: 185.97 		Nº:8
Cortez         		Mean: 41.43 		Best: 185.97 		Nº:3
Bubrig         		Mean: 15.08 		Best: 185.97 		Nº:6
Leland         		Mean: 21.3 		Best: 185.97 		Nº:7
Montgomery     		Mean: 11.73 		Best: 185.97 		Nº:4
Wilson         		Mean: 19.71 		Best: 177.1 		Nº:3
Franklin       		Mean: 20.97 		Best: 177.1 		Nº:5
Carter         		Mean: 22.22 		Best: 177.1 		Nº:4
Holloway       		Mean: 88.55 		Best: 177.1 		Nº:2
Roussell       		Mean: 44.61 		Best: 177.1 		Nº:2
Leggett        		Mean: 31.71 		Best: 167.72 		Nº:4
Winfield       		Mean: 10.51 		Best: 167.72 		Nº:4
Caines         		Mean: 21.01 		Best: 167.72 		Nº:4
Morrow         		Mean: 10.52 		Best: 167.72 		Nº:4

########## REPORT GEN: 6 ##########
SPECIES: 
Zins           		Mean: 17.93 		Best: 185.97 		Nº:7
Gray           		Mean: 22.21 		Best: 185.97 		Nº:8
Wright         		Mean: 46.82 		Best: 185.97 		Nº:2
Richardson     		Mean: 13.85 		Best: 185.97 		Nº:8
Desrochers     		Mean: 41.46 		Best: 185.97 		Nº:3
Stephens       		Mean: 13.95 		Best: 185.97 		Nº:8
Whitaker       		Mean: 28.35 		Best: 185.97 		Nº:5
Huppert        		Mean: 28.74 		Best: 185.97 		Nº:5
Bubrig         		Mean: 22.19 		Best: 185.97 		Nº:4
Leland         		Mean: 20.88 		Best: 185.97 		Nº:5
Wilson         		Mean: 7.45 		Best: 185.97 		Nº:5
Franklin       		Mean: 35.54 		Best: 185.97 		Nº:5
Leggett        		Mean: 14.06 		Best: 185.97 		Nº:8
Winfield       		Mean: 88.42 		Best: 185.97 		Nº:2
Caines         		Mean: 27.63 		Best: 185.97 		Nº:5
Morrow         		Mean: 46.61 		Best: 185.97 		Nº:2
Cortez         		Mean: 19.21 		Best: 177.1 		Nº:6
Carter         		Mean: 7.11 		Best: 177.1 		Nº:5
Holloway       		Mean: 22.19 		Best: 177.1 		Nº:4
Roussell       		Mean: 11.19 		Best: 177.1 		Nº:4
Montgomery     		Mean: 18.7 		Best: 167.72 		Nº:3
Davis          		Mean: 42.22 		Best: 167.72 		Nº:2

########## REPORT GEN: 7 ##########
SPECIES: 
Gray           		Mean: 35.9 		Best: 185.97 		Nº:5
Wright         		Mean: 22.83 		Best: 185.97 		Nº:4
Stephens       		Mean: 44.01 		Best: 185.97 		Nº:4
Huppert        		Mean: 18.08 		Best: 185.97 		Nº:7
Leland         		Mean: 34.7 		Best: 185.97 		Nº:5
Franklin       		Mean: 11.41 		Best: 185.97 		Nº:8
Leggett        		Mean: 44.51 		Best: 185.97 		Nº:4
Winfield       		Mean: 29.52 		Best: 185.97 		Nº:5
Holloway       		Mean: 14.56 		Best: 185.97 		Nº:5
Desrochers     		Mean: 9.59 		Best: 177.1 		Nº:6
Whitaker       		Mean: 10.85 		Best: 177.1 		Nº:7
Bubrig         		Mean: 7.12 		Best: 177.1 		Nº:5
Wilson         		Mean: 44.44 		Best: 177.1 		Nº:2
Caines         		Mean: 14.54 		Best: 177.1 		Nº:6
Morrow         		Mean: 11.09 		Best: 177.1 		Nº:4
Roussell       		Mean: 44.54 		Best: 177.1 		Nº:2
Davis          		Mean: 11.12 		Best: 177.1 		Nº:4
Richardson     		Mean: 10.5 		Best: 167.72 		Nº:4
Zins           		Mean: 0.0  		Best: 0.0 		Nº:4
Cortez         		Mean: 0.0  		Best: 0.0 		Nº:4
Carter         		Mean: 0.0  		Best: 0.0 		Nº:2
Montgomery     		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 8 ##########
SPECIES: 
Gray           		Mean: 8.88 		Best: 185.97 		Nº:10
Wright         		Mean: 8.78 		Best: 185.97 		Nº:8
Stephens       		Mean: 11.15 		Best: 185.97 		Nº:8
Huppert        		Mean: 19.16 		Best: 185.97 		Nº:6
Leland         		Mean: 12.7 		Best: 185.97 		Nº:10
Franklin       		Mean: 34.46 		Best: 185.97 		Nº:4
Leggett        		Mean: 11.12 		Best: 185.97 		Nº:8
Winfield       		Mean: 12.42 		Best: 185.97 		Nº:10
Desrochers     		Mean: 57.93 		Best: 185.97 		Nº:3
Caines         		Mean: 7.47 		Best: 185.97 		Nº:5
Davis          		Mean: 60.27 		Best: 185.97 		Nº:3
