########## REPORT GEN: 2 ##########
SPECIES: 
Ingraham       		Mean: 68.26 		Best: 907.2 		N:14
Cho            		Mean: 157.47 		Best: 906.24 		N:6
Cureton        		Mean: 233.16 		Best: 909.33 		N:4
Blanchard      		Mean: 310.66 		Best: 905.65 		N:3
Nelson         		Mean: 229.55 		Best: 905.65 		N:4
Bailey         		Mean: 452.83 		Best: 905.65 		N:2
Dubard         		Mean: 452.83 		Best: 905.65 		N:2
Harrington     		Mean: 186.04 		Best: 905.83 		N:5
Juel           		Mean: 238.63 		Best: 905.65 		N:4
Mercer         		Mean: 230.19 		Best: 905.65 		N:4
Casper         		Mean: 452.83 		Best: 905.65 		N:2
Lantrip        		Mean: 462.3 		Best: 905.65 		N:2
Vanderlip      		Mean: 315.87 		Best: 906.24 		N:3
Taylor         		Mean: 235.81 		Best: 906.24 		N:4
Broaddus       		Mean: 308.02 		Best: 905.65 		N:3
Grimes         		Mean: 452.71 		Best: 905.42 		N:2
Shapiro        		Mean: 232.11 		Best: 905.65 		N:4

########## REPORT GEN: 3 ##########
SPECIES: 
Mercer         		Mean: 466.39 		Best: 908.82 		N:2
Nelson         		Mean: 463.12 		Best: 906.24 		N:2
Casper         		Mean: 311.34 		Best: 906.24 		N:3
Rhodes         		Mean: 460.54 		Best: 906.24 		N:2
Vanderlip      		Mean: 314.92 		Best: 906.24 		N:3
Bailey         		Mean: 228.25 		Best: 905.99 		N:4
Cooke          		Mean: 466.93 		Best: 905.83 		N:2
Cho            		Mean: 135.13 		Best: 906.59 		N:7
Cureton        		Mean: 157.29 		Best: 907.2 		N:6
Blanchard      		Mean: 189.68 		Best: 905.65 		N:5
Shoultz        		Mean: 459.75 		Best: 905.65 		N:2
Dubard         		Mean: 310.19 		Best: 905.65 		N:3
Lantrip        		Mean: 135.53 		Best: 905.65 		N:7
Taylor         		Mean: 188.94 		Best: 906.24 		N:5
Shapiro        		Mean: 229.89 		Best: 905.65 		N:4
Grimes         		Mean: 226.35 		Best: 905.42 		N:4

########## REPORT GEN: 4 ##########
SPECIES: 
Broaddus       		Mean: 232.1 		Best: 906.75 		N:4
Mercer         		Mean: 235.2 		Best: 906.29 		N:4
Cho            		Mean: 231.82 		Best: 906.24 		N:4
Bailey         		Mean: 452.99 		Best: 905.99 		N:2
Lantrip        		Mean: 116.9 		Best: 908.82 		N:8
Casper         		Mean: 311.93 		Best: 905.65 		N:3
Vanderlip      		Mean: 311.31 		Best: 906.24 		N:3
Shoultz        		Mean: 310.49 		Best: 906.75 		N:3
Dubard         		Mean: 310.21 		Best: 905.65 		N:3
Harrington     		Mean: 187.42 		Best: 905.65 		N:5
Taylor         		Mean: 188.16 		Best: 906.85 		N:5
Preslipsky     		Mean: 306.28 		Best: 905.65 		N:3
Grimes         		Mean: 452.71 		Best: 905.42 		N:2
Cureton        		Mean: 454.55 		Best: 902.82 		N:2
Blanchard      		Mean: 234.94 		Best: 905.65 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
Casper         		Mean: 156.96 		Best: 909.33 		N:6
Blanchard      		Mean: 311.0 		Best: 906.75 		N:3
Shoultz        		Mean: 117.92 		Best: 906.75 		N:8
Bailey         		Mean: 226.88 		Best: 905.99 		N:4
Nelson         		Mean: 233.3 		Best: 905.99 		N:4
Cooke          		Mean: 462.99 		Best: 905.83 		N:2
Vanderlip      		Mean: 455.14 		Best: 905.73 		N:2
Mercer         		Mean: 305.68 		Best: 905.65 		N:3
Cho            		Mean: 452.83 		Best: 905.65 		N:2
Dubard         		Mean: 464.05 		Best: 905.65 		N:2
Harrington     		Mean: 187.24 		Best: 906.75 		N:5
Taylor         		Mean: 186.35 		Best: 906.75 		N:5
Preslipsky     		Mean: 460.79 		Best: 905.65 		N:2
Cureton        		Mean: 458.28 		Best: 905.65 		N:2
Grimes         		Mean: 226.35 		Best: 905.42 		N:4
Juel           		Mean: 456.37 		Best: 902.82 		N:2

########## REPORT GEN: 6 ##########
SPECIES: 
Cooke          		Mean: 463.74 		Best: 909.33 		N:2
Vanderlip      		Mean: 230.91 		Best: 906.29 		N:4
Preslipsky     		Mean: 309.13 		Best: 906.24 		N:3
Juel           		Mean: 309.57 		Best: 906.24 		N:3
Bailey         		Mean: 455.48 		Best: 905.99 		N:2
Dubard         		Mean: 310.61 		Best: 905.99 		N:3
Blanchard      		Mean: 185.36 		Best: 905.65 		N:5
Nelson         		Mean: 186.82 		Best: 906.75 		N:5
Mercer         		Mean: 309.94 		Best: 905.65 		N:3
Cho            		Mean: 185.92 		Best: 905.73 		N:5
Lantrip        		Mean: 313.03 		Best: 909.33 		N:3
Harrington     		Mean: 154.4 		Best: 906.24 		N:6
Taylor         		Mean: 234.07 		Best: 905.65 		N:4
Cureton        		Mean: 452.71 		Best: 905.42 		N:2
Shoultz        		Mean: 309.33 		Best: 905.65 		N:3
Broaddus       		Mean: 186.07 		Best: 906.59 		N:5

########## REPORT GEN: 7 ##########
SPECIES: 
Juel           		Mean: 307.48 		Best: 909.33 		N:3
Broaddus       		Mean: 310.46 		Best: 909.33 		N:3
Shoultz        		Mean: 229.57 		Best: 909.33 		N:4
Cho            		Mean: 460.87 		Best: 906.29 		N:2
Dubard         		Mean: 185.8 		Best: 906.24 		N:5
Casper         		Mean: 306.45 		Best: 906.24 		N:3
Bailey         		Mean: 182.2 		Best: 905.99 		N:5
Cooke          		Mean: 155.11 		Best: 905.83 		N:6
Vanderlip      		Mean: 182.29 		Best: 906.33 		N:5
Preslipsky     		Mean: 234.77 		Best: 906.24 		N:4
Blanchard      		Mean: 185.55 		Best: 906.24 		N:5
Harrington     		Mean: 452.12 		Best: 905.65 		N:2
Cureton        		Mean: 453.45 		Best: 905.42 		N:2
Grimes         		Mean: 226.66 		Best: 905.42 		N:4

########## REPORT GEN: 8 ##########
SPECIES: 
Blanchard      		Mean: 233.57 		Best: 909.33 		N:4
