########## REPORT GEN: 2 ##########
SPECIES: 
Oldham         		Mean: 27.31 		Best: 909.66 		N:35
Ferrell        		Mean: 23.91 		Best: 909.63 		N:40
Berry          		Mean: 23.32 		Best: 909.82 		N:41

########## REPORT GEN: 3 ##########
SPECIES: 
Oldham         		Mean: 34.02 		Best: 911.7 		N:28
Lee            		Mean: 134.85 		Best: 909.01 		N:7
Kotterna       		Mean: 52.71 		Best: 908.94 		N:18
Burke          		Mean: 86.04 		Best: 907.43 		N:11
Collazo        		Mean: 36.58 		Best: 910.34 		N:26
Ferrell        		Mean: 38.15 		Best: 910.68 		N:25
Nance          		Mean: 156.82 		Best: 908.37 		N:6
Berry          		Mean: 28.04 		Best: 910.42 		N:34
Tuggle         		Mean: 49.85 		Best: 908.48 		N:19
Morris         		Mean: 235.91 		Best: 905.57 		N:4
Andrews        		Mean: 52.2 		Best: 909.5 		N:18

########## REPORT GEN: 4 ##########
SPECIES: 
Berry          		Mean: 94.38 		Best: 911.15 		N:10
Lee            		Mean: 103.92 		Best: 911.07 		N:9
Tuggle         		Mean: 85.42 		Best: 910.67 		N:11
Ferrell        		Mean: 187.98 		Best: 909.69 		N:5
Oldham         		Mean: 156.7 		Best: 909.64 		N:6
Nance          		Mean: 78.6 		Best: 909.64 		N:12
Wegner         		Mean: 311.15 		Best: 909.27 		N:3
Burke          		Mean: 86.34 		Best: 909.22 		N:11
Kotterna       		Mean: 85.32 		Best: 909.08 		N:11
Jones          		Mean: 186.42 		Best: 909.91 		N:5
Andrews        		Mean: 72.79 		Best: 908.21 		N:13
Koehn          		Mean: 465.33 		Best: 907.97 		N:2
Collazo        		Mean: 52.55 		Best: 909.1 		N:18
Morris         		Mean: 78.36 		Best: 905.64 		N:12
Aguilar        		Mean: 66.16 		Best: 909.89 		N:14

########## REPORT GEN: 5 ##########
SPECIES: 
Wegner         		Mean: 93.97 		Best: 910.61 		N:10
Koehn          		Mean: 93.69 		Best: 910.57 		N:10
Kotterna       		Mean: 85.2 		Best: 910.36 		N:11
Burke          		Mean: 308.97 		Best: 908.33 		N:3
Andrews        		Mean: 154.77 		Best: 908.09 		N:6
Collazo        		Mean: 78.38 		Best: 909.91 		N:12
Morris         		Mean: 117.07 		Best: 910.64 		N:8
Oldham         		Mean: 85.28 		Best: 908.39 		N:11
Lee            		Mean: 78.56 		Best: 908.73 		N:12
Nance          		Mean: 186.76 		Best: 906.27 		N:5
Berry          		Mean: 155.28 		Best: 909.47 		N:6
Jones          		Mean: 187.36 		Best: 906.47 		N:5
Aguilar        		Mean: 154.43 		Best: 908.57 		N:6
Tuggle         		Mean: 103.96 		Best: 908.6 		N:9
Ferrell        		Mean: 232.78 		Best: 906.2 		N:4

########## REPORT GEN: 6 ##########
SPECIES: 
Nance          		Mean: 103.69 		Best: 911.95 		N:9
Oldham         		Mean: 116.41 		Best: 910.9 		N:8
Wegner         		Mean: 117.11 		Best: 915.9 		N:8
Jones          		Mean: 187.17 		Best: 908.85 		N:5
Lee            		Mean: 103.58 		Best: 908.81 		N:9
Berry          		Mean: 116.84 		Best: 908.33 		N:8
Ferrell        		Mean: 155.15 		Best: 908.31 		N:6
Andrews        		Mean: 103.91 		Best: 907.57 		N:9
Aguilar        		Mean: 186.06 		Best: 908.03 		N:5
Harris         		Mean: 307.57 		Best: 906.28 		N:3
Burke          		Mean: 155.21 		Best: 905.69 		N:6
Tuggle         		Mean: 93.1 		Best: 906.2 		N:10
Koehn          		Mean: 154.18 		Best: 904.98 		N:6
Collazo        		Mean: 116.33 		Best: 904.47 		N:8
Kotterna       		Mean: 131.89 		Best: 901.83 		N:7
Morris         		Mean: 155.06 		Best: 902.89 		N:6

########## REPORT GEN: 7 ##########
SPECIES: 
Burke          		Mean: 71.43 		Best: 913.69 		N:13
